ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
31	"ENSG00000096080.11_2"	"MRPS18A"	chr6	-	43642938	43643354	43642938	43643008	43643230	43643354	31	0,8,195,0,0,0,0,0,0,0,0,10,0	0,0,0,0,0,1,81,0,0,0,0,0,0	0,0,0,0,0,0,66,0,0,0	0,0,0,0,0,0,145,0,0,0	372	150	1	1.0	NA,1.0,1.0,NA,NA,0.0,0.0,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,NA,0.155,NA,NA,NA	0.445
35	"ENSG00000100842.12_1"	"EFS"	chr14	-	23828525	23829248	23828525	23828903	23829131	23829248	35	0,0,0,0,151,0,60,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,9,0,0,0,0,76	0,0,0,0,0,0,0,0,0,2	378	150	1	1.0	NA,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,0.938	0.031
37	"ENSG00000108852.14_1"	"MPP2"	chr17	-	41960270	41960723	41960270	41960420	41960570	41960723	37	0,0,0,0,0,0,0,0,0,0,0,2,0	0,68,0,0,0,0,0,0,0,0,0,87,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,13,0,0,0	300	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,NA	NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA	0.005
44	"ENSG00000104805.15_2"	"NUCB1"	chr19	+	49422286	49422543	49422286	49422379	49422450	49422543	44	0,3,0,0,0,0,0,0,0,0,4,0,0	0,18,0,0,0,0,0,0,5,0,0,128,0	0,0,0,0,0,0,0,0,0,0	0,8,0,0,0,11,0,0,0,0	221	150	1	1.0	NA,0.102,NA,NA,NA,NA,NA,NA,0.0,NA,1.0,0.0,NA	NA,0.0,NA,NA,NA,0.0,NA,NA,NA,NA	0.276
48	"ENSG00000130158.13_1"	"DOCK6"	chr19	-	11313069	11313391	11313069	11313159	11313259	11313391	48	0,0,0,0,0,0,0,0,0,2,28,0,0	12,0,0,0,39,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0	1,0,0,0,0,0,0,0,0,0	250	150	1	1.0	0.0,NA,NA,NA,0.0,NA,NA,NA,NA,1.0,1.0,NA,NA	0.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA	0.0
49	"ENSG00000004777.18_2"	"ARHGAP33"	chr19	+	36278069	36279724	36278069	36278461	36278545	36279724	49	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,11,0,0,0,0,0,0,0	0,0,0,0,0,48,0,0,8,0	0,0,0,0,0,0,0,0,0,0	234	150	1	1.0	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,1.0,NA	-1.0
54	"ENSG00000159079.18_2"	"C21orf59"	chr21	-	33973976	33975602	33973976	33974283	33975470	33975602	54	0,84,0,0,0,0,0,0,8,0,0,81,0	0,12,0,0,0,0,0,0,0,0,0,0,0	0,125,0,0,0,18,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1337	150	1	1.0	NA,0.44,NA,NA,NA,NA,NA,NA,1.0,NA,NA,1.0,NA	NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA	-0.187
55	"ENSG00000118515.11_2"	"SGK1"	chr6	-	134491963	134492316	134491963	134492053	134492160	134492316	55	0,0,0,0,0,0,0,0,0,0,73,0,0	0,0,92,0,0,0,0,1,39,0,318,0,2148	0,0,0,0,0,0,158,1,0,0	0,0,0,0,0,1,192,0,0,0	257	150	1	1.0	NA,NA,0.0,NA,NA,NA,NA,0.0,0.0,NA,0.118,NA,0.0	NA,NA,NA,NA,NA,0.0,0.324,1.0,NA,NA	-0.418
56	"ENSG00000118515.11_2"	"SGK1"	chr6	-	134494411	134494704	134494411	134494495	134494599	134494704	56	0,0,0,0,0,0,0,0,0,0,0,0,0	0,83,0,0,0,0,0,127,28,0,0,11,0	0,0,0,0,0,0,0,21,0,0	0,1,0,0,48,0,133,98,0,0	254	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,0.0,NA	NA,0.0,NA,NA,0.0,NA,0.0,0.112,NA,NA	-0.028
57	"ENSG00000118515.11_2"	"SGK1"	chr6	-	134495648	134495999	134495648	134495724	134495869	134495999	57	0,0,0,0,0,453,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,53,0,0,0,0	0,106,0,0,0,0,307,28,0,0	295	150	1	1.0	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	NA,0.0,NA,NA,NA,1.0,0.0,0.0,NA,NA	0.75
61	"ENSG00000221914.8_2"	"PPP2R2A"	chr8	+	26220199	26221406	26220199	26220364	26221236	26221406	61	0,0,0,0,12,34,0,0,5,0,0,523,1007	0,67,0,0,0,0,0,0,5,0,0,0,0	0,55,0,2,0,0,72,0,0,0	181,1,0,0,0,0,0,0,0,141	1022	150	1	1.0	NA,0.0,NA,NA,1.0,1.0,NA,NA,0.128,NA,NA,1.0,1.0	0.0,0.89,NA,1.0,NA,NA,1.0,NA,NA,0.0	0.11
66	"ENSG00000179152.19_1"	"TCAIM"	chr3	+	44441846	44442826	44441846	44442079	44442694	44442826	66	0,0,0,0,0,0,0,0,2,0,0,0,0	0,83,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,53,0,0	0,0,0,0,0,14,5,0,43,0	765	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,0.0,1.0,0.0,NA	0.25
68	"ENSG00000123416.15_2"	"TUBA1B"	chr12	-	49523282	49525178	49523282	49523505	49525080	49525178	68	0,102,0,0,0,0,0,0,0,0,0,203,0	6,488,230,188,141,232,0,1,48,1,1544,3,0	0,0,0,0,0,22,0,1,0,1	55,221,0,290,0,102,859,215,103,374	1725	150	1	1.0	0.0,0.018,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.855,NA	0.0,0.0,NA,0.0,NA,0.018,0.0,0.0,0.0,0.0	0.077
72	"ENSG00000131143.8_2"	"COX4I1"	chr16	+	85838542	85839470	85838542	85838710	85839338	85839470	72	0,67,0,0,29,156,0,0,0,0,153,0,0	0,569,0,326,0,283,81,0,12,0,160,85,0	0,0,0,2,0,0,0,0,129,2	1,0,0,0,0,123,2,30,2,0	778	150	1	1.0	NA,0.022,NA,0.0,1.0,0.096,0.0,NA,0.0,NA,0.156,0.0,NA	0.0,NA,NA,1.0,NA,0.0,0.0,0.0,0.926,1.0	-0.259
74	"ENSG00000133056.13_2"	"PIK3C2B"	chr1	-	204415083	204415272	204415083	204415130	204415214	204415272	74	0,0,0,0,0,0,0,0,0,0,268,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,85	0,0,0,0,0,0,0,0,0,80	234	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,0.405	0.297
81	"ENSG00000090857.13_1"	"PDPR"	chr16	+	70162686	70163025	70162686	70162768	70162861	70163025	81	0,98,0,0,0,0,0,0,0,0,0,0,0	0,68,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,44,0,0,0	243	150	1	1.0	NA,0.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA	0.471
84	"ENSG00000106263.17_1"	"EIF3B"	chr7	+	2418323	2418877	2418323	2418401	2418768	2418877	84	0,0,0,0,0,0,0,0,0,0,0,0,0	1,87,0,0,0,0,0,0,0,0,0,97,0	0,0,0,0,0,6,0,0,0,0	0,0,0,0,0,0,0,0,0,0	517	150	1	1.0	0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	-1.0
86	"ENSG00000106263.17_1"	"EIF3B"	chr7	+	2419028	2420375	2419028	2419146	2419913	2420375	86	0,0,0,0,0,3,0,0,0,0,0,0,0	0,66,0,0,0,2,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,146,0	0,0,0,0,0,0,0,0,0,0	917	150	1	1.0	NA,0.0,NA,NA,NA,0.197,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	-0.901
87	"ENSG00000142910.15_1"	"TINAGL1"	chr1	+	32048749	32049176	32048749	32048842	32049061	32049176	87	0,2,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	2,0,0,792,0,0,0,0,0,0	0,0,0,0,0,0,0,0,109,0	369	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0,NA,NA,1.0,NA,NA,NA,NA,0.0,NA	0.333
93	"ENSG00000149100.12_2"	"EIF3M"	chr11	+	32615411	32616559	32615411	32615495	32616459	32616559	93	24,0,0,0,0,3,0,440,4,0,0,0,0	0,1,0,0,0,81,0,0,0,1,5,0,0	0,0,0,0,1,5,52,0,49,0	2,0,0,0,0,16,0,38,0,4	1114	150	1	1.0	1.0,0.0,NA,NA,NA,0.005,NA,1.0,1.0,0.0,0.0,NA,NA	0.0,NA,NA,NA,1.0,0.04,1.0,0.0,1.0,0.0	-0.005
98	"ENSG00000255036.6_2"	"RP11-23J9.4"	chr9	+	100124477	100124723	100124477	100124533	100124644	100124723	98	0,0,171,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,22,0,0,0,0	0,0,0,0,0,0,1,0,2,0	261	150	1	1.0	NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,0.0,NA,0.0,NA	0.667
103	"ENSG00000141837.19_2"	"CACNA1A"	chr19	-	13321430	13323030	13321430	13321466	13322916	13323030	103	0,4,0,0,290,0,0,0,22,0,0,0,0	0,0,0,0,0,0,0,0,0,0,173,0,0	0,1,0,0,0,0,17,0,99,0	0,0,0,0,0,0,0,0,0,0	1600	150	1	1.0	NA,1.0,NA,NA,1.0,NA,NA,NA,1.0,NA,0.0,NA,NA	NA,1.0,NA,NA,NA,NA,1.0,NA,1.0,NA	-0.25
104	"ENSG00000169733.11_2"	"RFNG"	chr17	-	80005777	80006992	80005777	80006683	80006906	80006992	104	0,0,0,111,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,9,0,0,0,0	0,0,0,0,0,54,0,21,1,0	373	150	1	1.0	NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.063,NA,0.0,0.0,NA	0.979
106	"ENSG00000169733.11_2"	"RFNG"	chr17	-	80007552	80008431	80007552	80007882	80008277	80008431	106	0,0,0,0,0,51,0,0,0,0,87,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,110,0,0,0,0	0,1,0,0,0,0,0,0,0,0	545	150	1	1.0	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,NA,NA	NA,0.0,NA,NA,NA,1.0,NA,NA,NA,NA	0.5
123	"ENSG00000103249.17_2"	"CLCN7"	chr16	-	1499276	1500667	1499276	1499328	1500497	1500667	123	84,30,0,0,0,0,142,1,44,0,0,0,0	0,64,0,5,0,0,0,0,0,0,0,13,0	520,69,0,0,0,0,162,0,0,0	0,0,0,0,0,0,149,0,0,0	1319	150	1	1.0	1.0,0.051,NA,0.0,NA,NA,1.0,1.0,1.0,NA,NA,0.0,NA	1.0,1.0,NA,NA,NA,NA,0.11,NA,NA,NA	-0.125
125	"ENSG00000111229.15_2"	"ARPC3"	chr12	-	110873914	110874488	110873914	110874009	110874361	110874488	125	0,113,0,0,0,0,0,0,0,0,0,1,0	0,138,0,0,91,208,0,0,1,0,1,64,0	0,2,0,0,0,0,0,0,0,0	0,3,0,0,0,51,0,0,0,0	502	150	1	1.0	NA,0.197,NA,NA,0.0,0.0,NA,NA,0.0,NA,0.0,0.005,NA	NA,0.166,NA,NA,NA,0.0,NA,NA,NA,NA	-0.049
131	"ENSG00000142208.15_2"	"AKT1"	chr14	-	105237081	105238789	105237081	105237184	105238701	105238789	131	9,0,0,0,0,0,0,0,2,0,0,0,0	0,52,6,0,0,0,0,0,3,0,153,0,0	128,0,0,0,0,0,10,0,0,90	0,0,0,0,0,18,0,0,0,0	1667	150	1	1.0	1.0,0.0,0.0,NA,NA,NA,NA,NA,0.057,NA,0.0,NA,NA	1.0,NA,NA,NA,NA,0.0,1.0,NA,NA,1.0	-0.539
140	"ENSG00000184575.11_1"	"XPOT"	chr12	+	64818817	64819237	64818817	64818962	64819117	64819237	140	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,12,0,0,48,0,1,0,0	2,0,0,0,0,0,58,2,0,0	0,0,0,0,0,0,0,0,5,0	305	150	1	1.0	NA,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,0.0,NA,NA	1.0,NA,NA,NA,NA,NA,1.0,1.0,0.0,NA	-0.75
150	"ENSG00000143799.12_1"	"PARP1"	chr1	-	226553654	226555309	226553654	226553753	226555180	226555309	150	133,171,9,0,0,0,0,0,0,0,0,58,0	0,0,0,0,0,0,0,0,0,0,2,0,0	48,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,31	1577	150	1	1.0	1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,NA	1.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0	0.3
153	"ENSG00000182087.12_2"	"TMEM259"	chr19	-	1011094	1011498	1011094	1011194	1011365	1011498	153	0,2,0,0,0,2,0,0,0,0,0,0,0	0,40,0,0,0,368,0,1,0,19,184,0,0	0,0,0,0,0,0,0,0,14,0	0,0,0,0,0,0,136,0,6,0	321	150	1	1.0	NA,0.023,NA,NA,NA,0.003,NA,0.0,NA,0.0,0.0,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,0.522,NA	-0.256
154	"ENSG00000182087.12_2"	"TMEM259"	chr19	-	1011365	1011611	1011365	1011498	1011578	1011611	154	0,40,0,0,0,0,0,0,0,0,370,0,0	27,110,0,0,0,574,0,147,1,0,419,1,0	0,0,0,0,0,0,0,0,0,0	2,1,0,0,0,52,35,35,4,0	230	150	1	1.0	0.0,0.192,NA,NA,NA,0.0,NA,0.0,0.0,NA,0.365,0.0,NA	0.0,0.0,NA,NA,NA,0.0,0.0,0.0,0.0,NA	0.08
155	"ENSG00000182087.12_2"	"TMEM259"	chr19	-	1011578	1011797	1011578	1011611	1011739	1011797	155	1,0,0,0,0,130,0,147,0,0,429,1,0	0,37,0,0,0,317,0,0,1,0,0,14,0	2,1,0,0,0,52,10,0,0,0	0,0,0,0,0,0,25,0,4,0	278	150	1	1.0	1.0,0.0,NA,NA,NA,0.181,NA,1.0,0.0,NA,1.0,0.037,NA	1.0,1.0,NA,NA,NA,1.0,0.178,NA,0.0,NA	-0.176
156	"ENSG00000182087.12_2"	"TMEM259"	chr19	-	1011578	1011797	1011578	1011662	1011739	1011797	156	0,0,0,0,0,0,0,0,0,0,12,0,0	28,159,0,0,0,152,0,0,0,0,4,0,0	0,0,0,0,0,0,6,0,0,0	0,0,0,0,0,0,0,35,0,0	227	150	1	1.0	0.0,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,0.665,NA,NA	NA,NA,NA,NA,NA,NA,1.0,0.0,NA,NA	-0.334
157	"ENSG00000182087.12_2"	"TMEM259"	chr19	-	1012064	1012572	1012064	1012187	1012461	1012572	157	0,0,0,0,0,0,0,77,0,0,0,0,0	98,84,54,348,0,0,0,0,0,0,228,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,79,0,31,0	424	150	1	1.0	0.0,0.0,0.0,0.0,NA,NA,NA,1.0,NA,NA,0.0,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA	0.167
158	"ENSG00000171703.16_2"	"TCEA2"	chr20	+	62701117	62701767	62701117	62701174	62701612	62701767	158	4,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,3,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,35,63,0,0	0,0,0,0,0,0,0,23,6,0	588	150	1	1.0	1.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,0.411,0.0,NA	0.03
160	"ENSG00000171703.16_2"	"TCEA2"	chr20	+	62703222	62703699	62703222	62703294	62703524	62703699	160	0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,987,0,0,0,0,19,0,0,0,0	0,0,0,0,0,59,0,0,0,0	0,0,0,0,1,153,94,0,0,1	380	150	1	1.0	NA,0.0,NA,0.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,NA,0.0,0.132,0.0,NA,NA,0.0	-0.033
174	"ENSG00000124067.16_2"	"SLC12A4"	chr16	-	67978989	67979456	67978989	67979123	67979271	67979456	174	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,14,0,0	0,0,0,0,0,0,0,0,268,0	47,0,0,0,0,0,1,0,0,0	298	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	0.0,NA,NA,NA,NA,NA,0.0,NA,1.0,NA	-0.333
178	"ENSG00000214946.13_2"	"TBC1D26"	chr17	+	15640797	15641701	15640797	15640837	15641593	15641701	178	0,0,0,0,0,0,0,0,14,0,0,0,0	0,48,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,45,0,0,0,0	0,0,0,0,0,0,0,0,0,0	906	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	-0.5
179	"ENSG00000117385.15_1"	"P3H1"	chr1	-	43212045	43213083	43212045	43212523	43212942	43213083	179	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,2,0,0,0,0,0,0,0	0,0,0,0,0,0,0,151,0,0	0,0,0,0,0,0,0,0,0,0	569	150	1	1.0	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	-1.0
182	"ENSG00000156042.17_2"	"CFAP70"	chr10	-	75053020	75056931	75053020	75053146	75056799	75056931	182	141,237,0,3,0,53,0,229,46,0,197,341,0	0,0,0,0,0,0,0,0,0,0,0,0,0	126,1,0,2,0,0,945,0,368,2	0,0,0,0,0,0,0,4,0,0	3803	150	1	1.0	1.0,1.0,NA,1.0,NA,1.0,NA,1.0,1.0,NA,1.0,1.0,NA	1.0,1.0,NA,1.0,NA,NA,1.0,0.0,1.0,1.0	0.143
186	"ENSG00000182670.13_2"	"TTC3"	chr21	+	38460132	38460646	38460132	38460175	38460495	38460646	186	0,0,0,0,0,0,0,0,0,4,0,0,0	0,77,0,0,22,0,0,0,0,0,68,0,0	0,0,0,0,0,1,6,146,0,0	0,0,0,0,0,9,0,0,0,0	470	150	1	1.0	NA,0.0,NA,NA,0.0,NA,NA,NA,NA,1.0,0.0,NA,NA	NA,NA,NA,NA,NA,0.034,1.0,1.0,NA,NA	-0.428
190	"ENSG00000142303.13_1"	"ADAMTS10"	chr19	-	8660956	8661296	8660956	8661103	8661190	8661296	190	1,0,0,0,0,9,0,0,0,0,0,0,0	3,0,0,0,0,0,0,0,0,0,0,0,0	98,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,33,0,0,0	237	150	1	1.0	0.174,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,NA,0.0,NA,NA,1.0	-0.08
196	"ENSG00000131876.16_2"	"SNRPA1"	chr15	-	101825930	101827215	101825930	101826006	101827112	101827215	196	0,0,0,562,0,350,0,1,0,0,7,0,0	0,53,0,0,0,0,0,0,0,0,0,0,0	2,66,0,0,0,0,315,0,1,0	0,0,0,0,0,0,0,0,0,0	1256	150	1	1.0	NA,0.0,NA,1.0,NA,1.0,NA,1.0,NA,NA,1.0,NA,NA	1.0,1.0,NA,NA,NA,NA,1.0,NA,1.0,NA	-0.2
200	"ENSG00000181409.11_1"	"AATK"	chr17	-	79094000	79094784	79094000	79094199	79094627	79094784	200	5,34,0,0,0,0,0,60,45,0,3,0,1	0,0,0,0,0,0,0,0,0,83,161,0,0	36,0,0,0,2,0,1,2,0,0	0,0,0,0,0,0,0,0,0,0	578	150	1	1.0	1.0,1.0,NA,NA,NA,NA,NA,1.0,1.0,0.0,0.005,NA,1.0	1.0,NA,NA,NA,1.0,NA,1.0,1.0,NA,NA	-0.285
202	"ENSG00000167526.13_1"	"RPL13"	chr16	+	89627347	89627776	89627347	89627471	89627634	89627776	202	0,1,0,0,0,0,0,0,0,0,0,0,0	57,194,0,254,0,57,0,466,4,0,321,4,933	0,0,0,0,0,0,0,4,0,0	337,41,0,0,0,111,137,32,327,0	313	150	1	1.0	0.0,0.002,NA,0.0,NA,0.0,NA,0.0,0.0,NA,0.0,0.0,0.0	0.0,0.0,NA,NA,NA,0.0,0.0,0.057,0.0,NA	-0.009
203	"ENSG00000167526.13_1"	"RPL13"	chr16	+	89627634	89628159	89627634	89627776	89627985	89628159	203	0,91,0,0,0,0,0,0,0,0,0,0,5	0,282,0,0,0,19,0,453,3,0,103,5,0	0,0,0,0,2,0,0,0,0,0	127,533,0,192,0,138,242,0,57,0	359	150	1	1.0	NA,0.119,NA,NA,NA,0.0,NA,0.0,0.0,NA,0.0,0.0,1.0	0.0,0.0,NA,0.0,1.0,0.0,0.0,NA,0.0,NA	0.017
