ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1255	"ENSG00000254081.1_1"	"LINC01299"	chr8	-	66442810	66442844	66439242	66439820	66443649	66445359
1266	"ENSG00000213865.7_2"	"C8orf44"	chr8	+	67589876	67590189	67579852	67579936	67590453	67590530
1306	"ENSG00000283294.1_1"	"RP11-681B3.4"	chr18	+	14232523	14232636	14227609	14227759	14234685	14234814
1307	"ENSG00000283294.1_1"	"RP11-681B3.4"	chr18	+	14248965	14249022	14244560	14244783	14249430	14249484
1361	"ENSG00000196967.10_2"	"ZNF585A"	chr19	-	37599188	37599287	37597635	37598597	37600291	37600757
1391	"ENSG00000214946.13_2"	"TBC1D26"	chr17	+	15638661	15638737	15638243	15638384	15638910	15638993
1392	"ENSG00000214946.13_2"	"TBC1D26"	chr17	+	15641310	15641391	15640797	15640837	15641593	15641701
1403	"ENSG00000156042.17_2"	"CFAP70"	chr10	-	75095187	75095282	75090934	75091034	75101156	75101339
1404	"ENSG00000156042.17_2"	"CFAP70"	chr10	-	75107913	75107993	75104822	75105002	75108180	75108279
1432	"ENSG00000182670.13_2"	"TTC3"	chr21	+	38523119	38523184	38522377	38522470	38524192	38524258
1460	"ENSG00000187957.7_1"	"DNER"	chr2	-	230282823	230282946	230271947	230272061	230312031	230312256
1510	"ENSG00000137561.4_1"	"TTPA"	chr8	-	63978462	63978656	63976764	63976875	63985493	63985647
1523	"ENSG00000183117.18_2"	"CSMD1"	chr8	-	4277474	4277587	3889426	3889621	4494863	4495080
1524	"ENSG00000183117.18_2"	"CSMD1"	chr8	-	4494863	4495080	4277474	4277587	4851853	4852223
1525	"ENSG00000071655.17_2"	"MBD3"	chr19	-	1582620	1582711	1581090	1581268	1584538	1584676
1651	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130891634	130891717	130883620	130883742	130892621	130892704
1659	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130908917	130909100	130892621	130892704	130915557	130915596
1683	"ENSG00000143669.13_2"	"LYST"	chr1	-	235907278	235907457	235904721	235904928	235909635	235909827
1684	"ENSG00000143669.13_2"	"LYST"	chr1	-	235910469	235910631	235909767	235909827	235914509	235914662
1685	"ENSG00000143669.13_2"	"LYST"	chr1	-	235914509	235914662	235909635	235909827	235915304	235915471
1695	"ENSG00000196872.11_2"	"KIAA1211L"	chr2	-	99529210	99529448	99513839	99513941	99552400	99552722
1700	"ENSG00000134900.11_1"	"TPP2"	chr13	+	103320107	103320233	103317144	103317286	103326632	103326761
1735	"ENSG00000158352.15_1"	"SHROOM4"	chrX	-	50381173	50381308	50376177	50378668	50438785	50438937
1744	"ENSG00000154263.17_2"	"ABCA10"	chr17	-	67224721	67225001	67223285	67223426	67240669	67240987
1869	"ENSG00000165495.15_2"	"PKNOX2"	chr11	+	125280674	125280772	125280091	125280221	125281641	125281761
1887	"ENSG00000008869.11_1"	"HEATR5B"	chr2	-	37217790	37217942	37215788	37216002	37227728	37227956
1915	"ENSG00000184949.15_1"	"FAM227A"	chr22	-	39024242	39024347	39022182	39022308	39024838	39024940
1926	"ENSG00000123200.16_2"	"ZC3H13"	chr13	-	46626066	46626124	46619525	46619648	46626832	46626894
1927	"ENSG00000123200.16_2"	"ZC3H13"	chr13	-	46626066	46626124	46619525	46619651	46626538	46626820
1953	"ENSG00000198604.10_1"	"BAZ1A"	chr14	-	35230962	35231429	35227909	35228052	35233912	35234139
2060	"ENSG00000163864.15_2"	"NMNAT3"	chr3	-	139356804	139356904	139297713	139297897	139396546	139396560
2142	"ENSG00000168702.17_2"	"LRP1B"	chr2	-	141607670	141607898	141598486	141598661	141609220	141609352
2157	"ENSG00000129493.14_2"	"HEATR5A"	chr14	-	31858050	31858211	31856325	31856581	31863257	31863432
2177	"ENSG00000012822.15_2"	"CALCOCO1"	chr12	-	54118368	54118531	54117404	54117567	54118870	54119050
2178	"ENSG00000012822.15_2"	"CALCOCO1"	chr12	-	54118428	54118531	54117333	54117567	54118870	54119042
2179	"ENSG00000012822.15_2"	"CALCOCO1"	chr12	-	54119473	54119543	54118870	54119050	54120027	54120118
2183	"ENSG00000106723.16_1"	"SPIN1"	chr9	+	91031558	91031681	91030521	91030614	91033692	91033866
2189	"ENSG00000203879.11_1"	"GDI1"	chrX	+	153670457	153670602	153668870	153670141	153670720	153670775
2197	"ENSG00000188690.12_2"	"UROS"	chr10	-	127503602	127503699	127500782	127500857	127505005	127505094
2207	"ENSG00000113805.8_1"	"CNTN3"	chr3	-	74418339	74418524	74414716	74414853	74419039	74419142
2211	"ENSG00000205534.6_1"	"SMG1P2"	chr16	-	29576671	29576827	29572835	29572972	29577406	29577570
2233	"ENSG00000136444.9_2"	"RSAD1"	chr17	+	48560700	48560848	48559451	48559817	48561802	48562003
2261	"ENSG00000188554.13_1"	"NBR1"	chr17	+	41343388	41343598	41341930	41342793	41345110	41345270
2277	"ENSG00000196482.16_2"	"ESRRG"	chr1	-	217038402	217038520	216850417	216850833	217262848	217262987
2279	"ENSG00000196482.16_2"	"ESRRG"	chr1	-	217112923	217113015	216850417	216850833	217262848	217262947
2281	"ENSG00000196482.16_2"	"ESRRG"	chr1	-	217112923	217113015	217035571	217038520	217262848	217262947
2295	"ENSG00000176584.16_2"	"DMBT1P1"	chr10	+	124524299	124524329	124521275	124521344	124525838	124525886
2301	"ENSG00000173681.16_2"	"CXorf23"	chrX	-	19968870	19968986	19955535	19955650	19971105	19971169
2302	"ENSG00000173681.16_2"	"CXorf23"	chrX	-	19973508	19973684	19971895	19972010	19983161	19983260
2303	"ENSG00000256500.5_2"	"RP11-73M18.2"	chr14	+	104040443	104040507	104037959	104038157	104053610	104053701
2308	"ENSG00000196236.12_1"	"XPNPEP3"	chr22	+	41282316	41282519	41277773	41278181	41303590	41303653
2314	"ENSG00000100815.12_2"	"TRIP11"	chr14	-	92478098	92478139	92473983	92474196	92480558	92480921
2353	"ENSG00000118482.11_1"	"PHF3"	chr6	+	64389900	64390062	64356430	64356700	64394029	64394146
2359	"ENSG00000141084.10_2"	"RANBP10"	chr16	-	67805936	67805989	67778167	67778358	67839330	67839442
2364	"ENSG00000119638.12_2"	"NEK9"	chr14	-	75587821	75587877	75587212	75587283	75590748	75590926
2374	"ENSG00000183172.8_1"	"SMDT1"	chr22	+	42477928	42478069	42475698	42475958	42479122	42479357
2377	"ENSG00000138400.12_1"	"MDH1B"	chr2	-	207615657	207615799	207613743	207613907	207619732	207620229
2387	"ENSG00000158747.13_2"	"NBL1"	chr1	+	19981816	19981928	19981504	19981693	19983358	19983404
2445	"ENSG00000164176.12_2"	"EDIL3"	chr5	-	83549901	83550030	83525672	83525702	83680125	83680204
2464	"ENSG00000131503.16"	"ANKHD1"	chr5	+	139876104	139876863	139866542	139866645	139884405	139884551
2467	"ENSG00000106125.14_2"	"FAM188B"	chr7	+	30825364	30825608	30821592	30821828	30830780	30831190
2506	"ENSG00000198690.9_2"	"FAN1"	chr15	+	31202816	31203018	31200320	31200461	31206060	31206294
2533	"ENSG00000065491.8_1"	"TBC1D22B"	chr6	+	37249960	37250140	37247079	37247387	37250657	37250728
2550	"ENSG00000059691.11_2"	"GATB"	chr4	-	152593913	152594048	152591655	152592454	152600964	152601043
2582	"ENSG00000213337.8_2"	"ANKRD39"	chr2	-	97508101	97508248	97507796	97507922	97514005	97514181
2608	"ENSG00000136643.11_1"	"RPS6KC1"	chr1	+	213302869	213303232	213290658	213290752	213341200	213341316
2609	"ENSG00000136643.11_1"	"RPS6KC1"	chr1	+	213349742	213349835	213341200	213341316	213403839	213403887
2611	"ENSG00000089280.18_1"	"FUS"	chr16	+	31200440	31200547	31199645	31199678	31200985	31201115
2612	"ENSG00000089280.18_1"	"FUS"	chr16	+	31200443	31200547	31196259	31199678	31200985	31201115
2628	"ENSG00000177380.13_2"	"PPFIA3"	chr19	+	49642924	49643088	49641461	49641684	49643217	49643345
2643	"ENSG00000058335.15_1"	"RASGRF1"	chr15	-	79265644	79265762	79264207	79264276	79272961	79273041
2663	"ENSG00000189212.12_2"	"DPY19L2P1"	chr7	-	35129931	35130057	35119600	35121352	35131458	35131558
2665	"ENSG00000189212.12_2"	"DPY19L2P1"	chr7	-	35187402	35187494	35184602	35184702	35189699	35189886
2666	"ENSG00000189212.12_2"	"DPY19L2P1"	chr7	-	35189699	35189886	35184602	35184702	35201612	35201687
2713	"ENSG00000036530.8_1"	"CYP46A1"	chr14	+	100157417	100157498	100150640	100150873	100158116	100158198
2714	"ENSG00000036530.8_1"	"CYP46A1"	chr14	+	100161768	100161811	100158116	100158198	100165802	100165876
2768	"ENSG00000106605.10_2"	"BLVRA"	chr7	+	43810736	43810769	43798278	43798333	43827502	43827624
2838	"ENSG00000116580.18_1"	"GON4L"	chr1	-	155731980	155732165	155730234	155730432	155733102	155733355
2881	"ENSG00000148481.13_1"	"FAM188A"	chr10	-	15828559	15828647	15824153	15824225	15831245	15831318
2885	"ENSG00000229809.8_1"	"ZNF688"	chr16	-	30582330	30582444	30580666	30581757	30582754	30582973
2902	"ENSG00000165698.15_2"	"SPACA9"	chr9	+	135762755	135762958	135759297	135759478	135763676	135763824
2909	"ENSG00000164742.14_1"	"ADCY1"	chr7	+	45662230	45662342	45649977	45650096	45688268	45688396
2910	"ENSG00000164742.14_1"	"ADCY1"	chr7	+	45750126	45750251	45747948	45748063	45753291	45762715
2919	"ENSG00000176485.10_2"	"PLA2G16"	chr11	-	63365532	63365585	63357571	63357840	63381471	63381630
2920	"ENSG00000176485.10_2"	"PLA2G16"	chr11	-	63365532	63365635	63357571	63357840	63381471	63381540
2930	"ENSG00000127249.14_2"	"ATP13A4"	chr3	-	193220281	193220328	193210878	193210949	193232486	193232660
2931	"ENSG00000127249.14_2"	"ATP13A4"	chr3	-	193220281	193220428	193210878	193210949	193232486	193232660
2935	"ENSG00000167889.12_1"	"MGAT5B"	chr17	+	74878232	74878380	74868728	74869045	74898636	74898752
2945	"ENSG00000132670.20_2"	"PTPRA"	chr20	+	2928627	2928670	2903852	2903931	2944917	2944996
3000	"ENSG00000146776.14_1"	"ATXN7L1"	chr7	-	105283284	105283568	105278815	105279056	105305512	105305735
3014	"ENSG00000105877.17_1"	"DNAH11"	chr7	+	21698415	21698649	21695449	21695599	21721163	21721295
3015	"ENSG00000105877.17_1"	"DNAH11"	chr7	+	21721296	21721302	21721163	21721295	21723401	21723562
3016	"ENSG00000105877.17_1"	"DNAH11"	chr7	+	21721339	21721345	21721163	21721295	21723401	21723562
3040	"ENSG00000145242.13_2"	"EPHA5"	chr4	-	66356094	66356430	66286158	66286283	66361105	66361261
3044	"ENSG00000117408.10_1"	"IPO13"	chr1	+	44429940	44429993	44426837	44426934	44432246	44432313
3052	"ENSG00000188283.11_1"	"ZNF383"	chr19	+	37710500	37710651	37708827	37709176	37721310	37721364
3053	"ENSG00000188283.11_1"	"ZNF383"	chr19	+	37715719	37715841	37708827	37709176	37721310	37721364
3117	"ENSG00000102230.13_1"	"PCYT1B"	chrX	-	24637101	24637201	24625861	24625978	24690686	24690794
3123	"ENSG00000215193.12_2"	"PEX26"	chr22	+	18606922	18607071	18604245	18604468	18609120	18609801
3167	"ENSG00000119522.16_2"	"DENND1A"	chr9	-	126371714	126371760	126345447	126345549	126392654	126392755
3196	"ENSG00000144278.14_2"	"GALNT13"	chr2	+	155115533	155115651	155102324	155102495	155157921	155158102
3217	"ENSG00000102606.17_2"	"ARHGEF7"	chr13	+	111857635	111857720	111806060	111806338	111870025	111870227
3268	"ENSG00000010404.17_2"	"IDS"	chrX	-	148568455	148568629	148558520	148564749	148571844	148571971
3269	"ENSG00000010404.17_2"	"IDS"	chrX	-	148573068	148573198	148571844	148571971	148577876	148578047
3301	"ENSG00000198915.11_2"	"RASGEF1A"	chr10	-	43694539	43694642	43694380	43694460	43695123	43695216
3350	"ENSG00000072134.15_2"	"EPN2"	chr17	+	19235165	19235381	19232873	19232960	19237268	19237643
3362	"ENSG00000196911.10_2"	"KPNA5"	chr6	+	117026234	117026323	117023181	117023313	117037381	117037481
3363	"ENSG00000196911.10_2"	"KPNA5"	chr6	+	117045459	117045538	117043288	117043452	117046913	117047039
3389	"ENSG00000083097.14_1"	"DOPEY1"	chr6	+	83806449	83806542	83777384	83777498	83806643	83806834
3391	"ENSG00000083097.14_1"	"DOPEY1"	chr6	+	83865669	83865822	83863898	83863960	83866900	83867037
3409	"ENSG00000175471.19_2"	"MCTP1"	chr5	-	94259666	94259726	94253600	94253678	94267657	94267696
3498	"ENSG00000074211.13_1"	"PPP2R2C"	chr4	-	6536997	6537104	6382723	6382821	6565286	6565327
3500	"ENSG00000104835.14_2"	"SARS2"	chr19	-	39406480	39406546	39405905	39406389	39406676	39406769
3545	"ENSG00000167770.11_2"	"OTUB1"	chr11	+	63756098	63756224	63755808	63755870	63764001	63764120
3546	"ENSG00000167770.11_2"	"OTUB1"	chr11	+	63756125	63756224	63755808	63755870	63764001	63764120
3553	"ENSG00000283228.1_1"	"CTD-2021K4.1"	chr2	-	152727355	152727375	152727044	152727125	152728930	152729007
3555	"ENSG00000149557.12_2"	"FEZ1"	chr11	-	125318397	125318463	125315640	125316007	125322229	125322305
3592	"ENSG00000143248.12_2"	"RGS5"	chr1	-	163278333	163278421	163276022	163276119	163288971	163289081
3609	"ENSG00000134882.15_2"	"UBAC2"	chr13	+	99966350	99966474	99890680	99890808	99970275	99970323
3678	"ENSG00000171094.15_2"	"ALK"	chr2	-	29430036	29430138	29420407	29420542	29432651	29432744
3744	"ENSG00000267645.5_2"	"RP11-577H5.5"	chr7	-	102307536	102307711	102306523	102306610	102309361	102309451
3767	"ENSG00000178467.17_2"	"P4HTM"	chr3	+	49028265	49028347	49027318	49028043	49038870	49038995
3816	"ENSG00000258366.7_2"	"RTEL1"	chr20	+	62320854	62321001	62320407	62320485	62321102	62321218
3817	"ENSG00000258366.7_2"	"RTEL1"	chr20	+	62321439	62321563	62321102	62321218	62321646	62321794
3827	"ENSG00000122557.9_2"	"HERPUD2"	chr7	-	35674744	35675068	35673921	35674039	35677959	35678082
3846	"ENSG00000155886.11_1"	"SLC24A2"	chr9	-	19622258	19622297	19619581	19619690	19785934	19786926
3874	"ENSG00000151474.20_2"	"FRMD4A"	chr10	-	13705452	13705509	13702315	13702553	13708096	13708325
3876	"ENSG00000151474.20_2"	"FRMD4A"	chr10	-	13735481	13735517	13726035	13726864	13735897	13736039
3967	"ENSG00000103351.12_2"	"CLUAP1"	chr16	+	3558288	3558468	3556330	3556415	3562382	3562478
4173	"ENSG00000163466.15_1"	"ARPC2"	chr2	+	219110142	219110269	219104113	219104207	219114086	219114187
4240	"ENSG00000237781.3_1"	"RP11-54A4.2"	chr1	-	150529083	150529160	150528623	150528693	150530168	150530200
4244	"ENSG00000131773.13_2"	"KHDRBS3"	chr8	+	136657301	136657360	136619197	136619280	136659235	136659385
4246	"ENSG00000131773.13_2"	"KHDRBS3"	chr8	+	136660782	136660841	136619197	136619280	136668468	136668710
4256	"ENSG00000241057.2_2"	"AC004985.12"	chr7	-	44009330	44009460	44005601	44005994	44012228	44012290
4298	"ENSG00000105605.7_1"	"CACNG7"	chr19	+	54444723	54444869	54418618	54418759	54445289	54445640
4322	"ENSG00000084710.13_1"	"EFR3B"	chr2	+	25326505	25326656	25315871	25315999	25344541	25344663
4353	"ENSG00000142599.17_2"	"RERE"	chr1	-	8684368	8684439	8674619	8674745	8716031	8716430
4354	"ENSG00000142599.17_2"	"RERE"	chr1	-	8852462	8852647	8716031	8716500	8877218	8877524
4358	"ENSG00000075651.15_1"	"PLD1"	chr3	-	171417534	171417616	171410121	171410232	171426544	171426628
4370	"ENSG00000151150.21_2"	"ANK3"	chr10	-	61897099	61897111	61894028	61894116	61898721	61898845
4373	"ENSG00000151150.21_2"	"ANK3"	chr10	-	61905725	61905779	61898274	61898845	61926581	61926633
4374	"ENSG00000151150.21_2"	"ANK3"	chr10	-	61926348	61926411	61898721	61898845	61926581	61926654
4436	"ENSG00000074935.13_1"	"TUBE1"	chr6	-	112395912	112396053	112393960	112394101	112397139	112397315
4481	"ENSG00000251136.8_1"	"RP11-37B2.1"	chr8	-	90627411	90627534	90623584	90624218	90629307	90629386
4496	"ENSG00000138738.10_2"	"PRDM5"	chr4	-	121719421	121719579	121706152	121706246	121720815	121720900
4512	"ENSG00000127995.16_1"	"CASD1"	chr7	+	94164620	94164835	94162990	94163114	94166783	94167206
4517	"ENSG00000283486.1_1"	"RP11-392E22.9"	chr9	-	38573080	38573126	38572002	38572056	38575472	38575695
4530	"ENSG00000157388.14_2"	"CACNA1D"	chr3	+	53803999	53804044	53796577	53796661	53804450	53804579
4533	"ENSG00000065882.15_2"	"TBC1D1"	chr4	+	38037208	38037319	38029408	38029500	38045982	38046111
4539	"ENSG00000115020.16_2"	"PIKFYVE"	chr2	+	209138307	209138457	209136234	209136415	209150449	209150657
4545	"ENSG00000115020.16_2"	"PIKFYVE"	chr2	+	209150449	209150657	209136234	209136415	209153452	209153542
4547	"ENSG00000115020.16_2"	"PIKFYVE"	chr2	+	209182590	209182665	209179916	209180097	209184975	209185083
4559	"ENSG00000151067.21_2"	"CACNA1C"	chr12	+	2659709	2659822	2659108	2659199	2666116	2666143
4571	"ENSG00000166257.8_2"	"SCN3B"	chr11	-	123504828	123504914	123499896	123504484	123508893	123509032
4573	"ENSG00000137872.16_2"	"SEMA6D"	chr15	+	47704589	47704669	47476297	47476615	47762670	47762742
4575	"ENSG00000137872.16_2"	"SEMA6D"	chr15	+	48053857	48053948	48053526	48053628	48054396	48054516
4634	"ENSG00000248309.6_2"	"MEF2C-AS1"	chr5	+	88261657	88261732	88243952	88244032	88390775	88390846
4653	"ENSG00000135519.6_1"	"KCNH3"	chr12	+	49937057	49937301	49936488	49936622	49937697	49937855
4668	"ENSG00000007402.11_2"	"CACNA2D2"	chr3	-	50424998	50425043	50421626	50421768	50431539	50431599
4690	"ENSG00000145390.11_1"	"USP53"	chr4	+	120156444	120156566	120138704	120138828	120160372	120160467
4708	"ENSG00000213930.11_2"	"GALT"	chr9	+	34647653	34647958	34647085	34647564	34648111	34648168
4711	"ENSG00000213930.11_2"	"GALT"	chr9	+	34648330	34648453	34648088	34648168	34648758	34648825
4761	"ENSG00000069329.15_2"	"VPS35"	chr16	-	46702841	46702964	46696894	46697074	46705616	46705772
4815	"ENSG00000275131.2_2"	"CH17-472G23.4"	chr1	-	144857611	144857728	144856815	144857042	144859758	144859998
4816	"ENSG00000275131.2_2"	"CH17-472G23.4"	chr1	-	144857611	144857728	144856815	144857042	144863317	144863442
4817	"ENSG00000275131.2_2"	"CH17-472G23.4"	chr1	-	144859758	144859998	144856815	144857042	144863317	144863442
4818	"ENSG00000275131.2_2"	"CH17-472G23.4"	chr1	-	144859758	144859998	144857611	144857728	144863317	144863442
4819	"ENSG00000069248.11_1"	"NUP133"	chr1	-	229599289	229599423	229596357	229596516	229600370	229600622
4836	"ENSG00000127616.17_2"	"SMARCA4"	chr19	+	11075982	11075985	11071785	11071850	11094799	11095049
4837	"ENSG00000127616.17_2"	"SMARCA4"	chr19	+	11088328	11088491	11071756	11071850	11094799	11095049
4839	"ENSG00000127616.17_2"	"SMARCA4"	chr19	+	11094155	11094387	11071780	11071850	11094799	11095049
4922	"ENSG00000137871.19_2"	"ZNF280D"	chr15	-	56974451	56974675	56970861	56971019	56981238	56981348
4927	"ENSG00000137871.19_2"	"ZNF280D"	chr15	-	57139521	57139679	57119721	57119849	57182211	57182365
4940	"ENSG00000144040.12_2"	"SFXN5"	chr2	-	73195576	73195662	73194365	73194452	73247367	73247393
4966	"ENSG00000116688.16_1"	"MFN2"	chr1	+	12058826	12058935	12057353	12057478	12059044	12059152
4991	"ENSG00000104133.14_2"	"SPG11"	chr15	-	44881449	44881612	44877833	44878048	44884528	44884636
5006	"ENSG00000168300.13_2"	"PCMTD1"	chr8	-	52758220	52758323	52746077	52746249	52773404	52773806
5082	"ENSG00000175309.14_2"	"PHYKPL"	chr5	-	177651642	177651730	177651448	177651565	177652355	177652430
5117	"ENSG00000171475.13_1"	"WIPF2"	chr17	+	38418776	38418893	38416786	38416919	38420741	38421398
5135	"ENSG00000183023.18_2"	"SLC8A1"	chr2	-	40402400	40402421	40401964	40401982	40405526	40405633
5136	"ENSG00000183023.18_2"	"SLC8A1"	chr2	-	40404891	40404995	40401964	40401982	40405526	40405633
5193	"ENSG00000223546.6_2"	"LINC00630"	chrX	+	102025279	102025348	102024088	102024269	102081896	102082072
5194	"ENSG00000223546.6_2"	"LINC00630"	chrX	+	102071919	102072010	102024145	102024269	102081896	102082072
