ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
33	"ENSG00000171466.9_2"	"ZNF562"	chr19	-	9768684	9768811	9770054	9770143	9767222	9767329	9771395	9771550
34	"ENSG00000157036.12_2"	"EXOG"	chr3	+	38540416	38540480	38541171	38541238	38539119	38539269	38542845	38542985
35	"ENSG00000157036.12_2"	"EXOG"	chr3	+	38540416	38540480	38541580	38541655	38539119	38539269	38542845	38542985
36	"ENSG00000157036.12_2"	"EXOG"	chr3	+	38541171	38541238	38541580	38541655	38539119	38539269	38542845	38542985
37	"ENSG00000135720.12_2"	"DYNC1LI2"	chr16	-	66776340	66776571	66783099	66783216	66769977	66770147	66785175	66785249
38	"ENSG00000166676.14_1"	"TVP23A"	chr16	-	10868808	10868953	10902393	10902463	10867895	10867985	10911959	10912039
39	"ENSG00000166676.14_1"	"TVP23A"	chr16	-	10868808	10869404	10902393	10902463	10867895	10867985	10911959	10912039
40	"ENSG00000133794.17_2"	"ARNTL"	chr11	+	13347959	13348014	13371491	13371617	13331533	13331606	13375847	13375995
41	"ENSG00000130294.14_1"	"KIF1A"	chr2	-	241667805	241667829	241674135	241674162	241666242	241666357	241676479	241676585
42	"ENSG00000086848.14_2"	"ALG9"	chr11	-	111724371	111724459	111728324	111728460	111724102	111724208	111731269	111731358
43	"ENSG00000105197.10_2"	"TIMM50"	chr19	+	39973524	39973556	39976183	39976242	39972522	39972673	39976327	39976447
44	"ENSG00000151665.12_2"	"PIGF"	chr2	-	46815213	46815318	46818941	46819064	46808423	46808730	46819613	46819722
45	"ENSG00000147408.14_2"	"CSGALNACT1"	chr8	-	19442676	19442828	19448670	19448789	19362711	19363641	19459281	19459376
46	"ENSG00000223528.7_2"	"RP11-223P11.3"	chr10	-	128814761	128814845	128816851	128816921	128814186	128814361	128824535	128824687
47	"ENSG00000076067.11_1"	"RBMS2"	chr12	+	56965481	56965639	56974061	56974159	56963682	56963774	56974967	56975047
48	"ENSG00000111540.15_1"	"RAB5B"	chr12	+	56383730	56383882	56384465	56384588	56380652	56380907	56385143	56385237
49	"ENSG00000204149.10_2"	"AGAP6"	chr10	+	51751435	51751504	51754154	51754189	51749067	51749136	51761755	51761856
50	"ENSG00000165525.17_1"	"NEMF"	chr14	-	50307435	50307584	50312857	50312983	50304856	50304924	50318280	50318383
51	"ENSG00000185046.18_2"	"ANKS1B"	chr12	-	99175267	99175276	99175903	99175915	99174894	99174981	99192711	99192783
52	"ENSG00000185046.18_2"	"ANKS1B"	chr12	-	99201621	99201693	99222951	99223131	99194774	99194903	99225806	99225914
53	"ENSG00000185046.18_2"	"ANKS1B"	chr12	-	99201621	99201696	99222951	99223131	99194774	99194903	99225806	99225914
54	"ENSG00000185046.18_2"	"ANKS1B"	chr12	-	99201621	99201696	99225806	99225914	99194774	99194903	99446934	99447087
55	"ENSG00000141837.19_2"	"CACNA1A"	chr19	-	13338244	13338341	13339512	13339609	13335480	13335586	13340895	13341023
56	"ENSG00000141837.19_2"	"CACNA1A"	chr19	-	13347262	13347432	13352334	13352340	13346427	13346544	13355995	13356079
57	"ENSG00000110887.7_2"	"DAO"	chr12	+	109281225	109281340	109283244	109283321	109278773	109278976	109283983	109284049
58	"ENSG00000182973.18_2"	"CNOT10"	chr3	+	32729222	32729228	32734987	32734993	32726810	32726974	32750161	32750312
59	"ENSG00000176623.11_2"	"RMDN1"	chr8	-	87507057	87507195	87517528	87517608	87500780	87500868	87519223	87519341
60	"ENSG00000111247.14_1"	"RAD51AP1"	chr12	+	4654384	4654478	4654947	4654998	4652928	4653070	4655474	4655584
61	"ENSG00000226383.6_2"	"AC093375.1"	chr2	-	156880981	156881088	157061893	157061950	156879183	156879329	157084478	157084516
62	"ENSG00000135549.10"	"PKIB"	chr6	+	123022206	123022369	123022584	123022645	122996222	122996289	123038931	123039108
63	"ENSG00000223959.8_1"	"AFG3L1P"	chr16	+	90044046	90044210	90045217	90045286	90038993	90039173	90046649	90046744
64	"ENSG00000186952.14_2"	"TMEM232"	chr5	-	109946203	109946301	109953594	109953684	109941864	109941988	109954129	109954263
65	"ENSG00000116299.16_1"	"KIAA1324"	chr1	+	109716309	109716459	109727666	109727755	109716095	109716201	109730798	109730976
66	"ENSG00000198453.12_2"	"ZNF568"	chr19	+	37467228	37467269	37482077	37482201	37465321	37465368	37482652	37482748
67	"ENSG00000204740.10_2"	"MALRD1"	chr10	+	19739235	19739419	19777888	19778102	19678380	19678538	19780445	19780574
68	"ENSG00000186007.9_2"	"LEMD1"	chr1	-	205353415	205353492	205388357	205388480	205350505	205350984	205389582	205389702
69	"ENSG00000132122.11_2"	"SPATA6"	chr1	-	48878781	48878823	48917223	48917272	48877135	48877260	48918665	48918803
70	"ENSG00000125991.18_2"	"ERGIC3"	chr20	+	34136916	34136961	34142142	34142157	34136560	34136618	34142814	34142846
71	"ENSG00000189058.8_2"	"APOD"	chr3	-	195309487	195309610	195309937	195310073	195306209	195306366	195310748	195310811
72	"ENSG00000137757.10_1"	"CASP5"	chr11	-	104874000	104874110	104877809	104878061	104872754	104872928	104893856	104893863
73	"ENSG00000198788.7"	"MUC2"	chr11	+	1088965	1089012	1090336	1090380	1088699	1088847	1090781	1090985
74	"ENSG00000184313.19_2"	"MROH7"	chr1	+	55145563	55145718	55148328	55148467	55144935	55145112	55151930	55152121
75	"ENSG00000184313.19_2"	"MROH7"	chr1	+	55148328	55148467	55151930	55152121	55145563	55145718	55158096	55158234
76	"ENSG00000001631.15_2"	"KRIT1"	chr7	-	91874215	91874485	91874740	91874888	91871347	91871451	91875157	91875228
77	"ENSG00000172765.16_2"	"TMCC1"	chr3	-	129576092	129576248	129585852	129585941	129551616	129551669	129599151	129599402
78	"ENSG00000142687.17_2"	"KIAA0319L"	chr1	-	35936463	35936561	35940405	35940507	35932208	35932296	35944566	35944813
79	"ENSG00000182087.12_2"	"TMEM259"	chr19	-	1010989	1011094	1011094	1011194	1009646	1010894	1011365	1011498
80	"ENSG00000108848.15_2"	"LUC7L3"	chr17	+	48814647	48814840	48815501	48815560	48814320	48814387	48817666	48817706
81	"ENSG00000143549.19_1"	"TPM3"	chr1	-	154143888	154143964	154144504	154144580	154143124	154143187	154145383	154145454
82	"ENSG00000268434.5_2"	"AC011530.4"	chr19	-	46283471	46283639	46285450	46285508	46283035	46283127	46288851	46288971
83	"ENSG00000167755.13_2"	"KLK6"	chr19	-	51470424	51470581	51471320	51471368	51466557	51466805	51471796	51472023
84	"ENSG00000182670.13_2"	"TTC3"	chr21	+	38529462	38529516	38530432	38530505	38528956	38529208	38532000	38532047
85	"ENSG00000163618.17_2"	"CADPS"	chr3	-	62479319	62479340	62483820	62483829	62477964	62478121	62484836	62484943
86	"ENSG00000163618.17_2"	"CADPS"	chr3	-	62498425	62498443	62499312	62499381	62484836	62484943	62501733	62501857
87	"ENSG00000227617.8_2"	"CERS6-AS1"	chr2	-	169631705	169631825	169634322	169634447	169631330	169631461	169640464	169640557
88	"ENSG00000227617.8_2"	"CERS6-AS1"	chr2	-	169631705	169631880	169634322	169634447	169631330	169631461	169640464	169640557
89	"ENSG00000183117.18_2"	"CSMD1"	chr8	-	3455825	3455828	3470797	3470800	3443657	3443782	3474231	3474319
90	"ENSG00000183117.18_2"	"CSMD1"	chr8	-	4277474	4277587	4494863	4495080	3889426	3889621	4851853	4852223
91	"ENSG00000186469.8_1"	"GNG2"	chr14	+	52308223	52308290	52344334	52344375	52294385	52294525	52417367	52417483
92	"ENSG00000186469.8_1"	"GNG2"	chr14	+	52379726	52379846	52406498	52406809	52344334	52344375	52417367	52417483
93	"ENSG00000155749.12_1"	"ALS2CR12"	chr2	-	202195458	202195556	202207092	202207154	202195192	202195245	202208892	202208986
94	"ENSG00000010704.18_2"	"HFE"	chr6	+	26091068	26091332	26091541	26091817	26087508	26087744	26092912	26093188
95	"ENSG00000010704.18_2"	"HFE"	chr6	+	26091068	26091332	26091541	26091817	26087632	26087744	26092954	26093188
96	"ENSG00000104413.15_2"	"ESRP1"	chr8	+	95704904	95705055	95709079	95709189	95690430	95690599	95718152	95719694
97	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130874474	130874580	130883620	130883742	130867856	130867993	130915557	130915596
98	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130891634	130891717	130892621	130892704	130883620	130883742	130908917	130909100
99	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130891634	130891717	130892621	130892704	130883620	130883742	130915557	130915596
100	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130891842	130892035	130892621	130892704	130891634	130891717	130915557	130915596
101	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130891842	130892035	130906732	130906810	130891634	130891717	130915557	130915596
102	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130891842	130892035	130908917	130909100	130891634	130891717	130915557	130915596
103	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130891842	130892035	130908994	130909100	130891634	130891717	130915557	130915596
104	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130892621	130892704	130906732	130906810	130891634	130891717	130915557	130915596
105	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130892621	130892704	130908917	130909100	130891634	130891717	130915557	130915596
106	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130892621	130892704	130908994	130909100	130891634	130891717	130915557	130915596
107	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130906732	130906810	130908917	130909100	130891634	130891717	130915557	130915596
108	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130906732	130906810	130908994	130909100	130891634	130891717	130915557	130915596
109	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130916744	130916831	130924715	130924761	130915557	130915596	130983188	130983241
110	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130924605	130924663	130924715	130924761	130916744	130916831	130983188	130983241
111	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130924605	130924663	130961211	130961313	130916744	130916831	130983188	130983241
112	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130924715	130924761	130961211	130961313	130916744	130916831	130983188	130983241
113	"ENSG00000041357.15_1"	"PSMA4"	chr15	+	78834518	78834561	78834824	78834987	78834246	78834272	78836531	78836609
114	"ENSG00000041357.15_1"	"PSMA4"	chr15	+	78834824	78834987	78836531	78836609	78834518	78834561	78837210	78837299
115	"ENSG00000073803.13_1"	"MAP3K13"	chr3	+	185046861	185047037	185146284	185146734	185046682	185046750	185155234	185155418
116	"ENSG00000039560.13_1"	"RAI14"	chr5	+	34688172	34688353	34716159	34716326	34686976	34687060	34757572	34757703
117	"ENSG00000081189.14_2"	"MEF2C"	chr5	-	88056804	88056942	88057001	88057145	88047673	88047860	88100414	88100618
118	"ENSG00000183826.16_2"	"BTBD9"	chr6	-	38370592	38370679	38472269	38472338	38312759	38312869	38545375	38545495
119	"ENSG00000168393.12_2"	"DTYMK"	chr2	-	242619643	242619734	242621333	242621748	242617866	242618064	242625183	242625292
120	"ENSG00000168393.12_2"	"DTYMK"	chr2	-	242619643	242619734	242624130	242624164	242617866	242618064	242625183	242625292
121	"ENSG00000168393.12_2"	"DTYMK"	chr2	-	242621333	242621748	242624130	242624164	242617866	242618064	242625183	242625292
122	"ENSG00000093183.13_2"	"SEC22C"	chr3	-	42605256	42605372	42608235	42608328	42605014	42605178	42610356	42610565
123	"ENSG00000093183.13_2"	"SEC22C"	chr3	-	42605256	42605472	42608235	42608328	42605014	42605178	42610356	42610565
124	"ENSG00000093183.13_2"	"SEC22C"	chr3	-	42607267	42607375	42608235	42608328	42605256	42605472	42610356	42610565
125	"ENSG00000165495.15_2"	"PKNOX2"	chr11	+	125201714	125201821	125221179	125221288	125104940	125105011	125237741	125237881
126	"ENSG00000165495.15_2"	"PKNOX2"	chr11	+	125221179	125221288	125237741	125237881	125201714	125201821	125255446	125255618
127	"ENSG00000170477.12_1"	"KRT4"	chr12	-	53205546	53205761	53207380	53207512	53204539	53204600	53207631	53207900
128	"ENSG00000128989.10_1"	"ARPP19"	chr15	-	52856386	52856443	52861044	52861097	52849296	52849419	52861312	52861364
129	"ENSG00000163913.11_2"	"IFT122"	chr3	+	129170756	129170815	129177441	129177520	129168713	129168780	129180070	129180147
130	"ENSG00000163913.11_2"	"IFT122"	chr3	+	129170756	129170841	129177441	129177520	129168713	129168780	129180070	129180147
131	"ENSG00000163913.11_2"	"IFT122"	chr3	+	129174956	129175107	129176764	129176858	129170756	129170841	129177441	129177520
132	"ENSG00000163913.11_2"	"IFT122"	chr3	+	129210983	129211037	129214288	129214450	129207099	129207240	129218744	129218911
133	"ENSG00000162241.12_1"	"SLC25A45"	chr11	-	65146846	65147032	65147337	65147409	65144288	65144547	65147602	65147646
134	"ENSG00000119681.11_2"	"LTBP2"	chr14	-	74973881	74974013	74974675	74974798	74973400	74973526	74975306	74975432
135	"ENSG00000139597.17_2"	"N4BP2L1"	chr13	-	32978339	32978408	32978457	32978534	32977044	32977337	32981386	32981475
136	"ENSG00000141562.17_2"	"NARF"	chr17	+	80430439	80430574	80436446	80436543	80426639	80426772	80436675	80436794
137	"ENSG00000239382.10_2"	"ALKBH6"	chr19	-	36502305	36502366	36503902	36503991	36501795	36501947	36504245	36504324
138	"ENSG00000197099.8_1"	"RP11-573D15.8"	chr3	-	186369598	186369660	186384756	186385050	186369198	186369283	186436255	186436358
139	"ENSG00000197099.8_1"	"RP11-573D15.8"	chr3	-	186384756	186385050	186432236	186432328	186369598	186369660	186436255	186436358
140	"ENSG00000197099.8_1"	"RP11-573D15.8"	chr3	-	186384756	186385050	186432528	186432647	186369598	186369660	186436255	186436358
141	"ENSG00000197099.8_1"	"RP11-573D15.8"	chr3	-	186432236	186432328	186432528	186432647	186369598	186369660	186436255	186436358
142	"ENSG00000197099.8_1"	"RP11-573D15.8"	chr3	-	186439008	186439133	186454327	186454439	186436255	186436358	186461491	186461602
143	"ENSG00000197099.8_1"	"RP11-573D15.8"	chr3	-	186439008	186439205	186454327	186454439	186436255	186436358	186461491	186461602
144	"ENSG00000169347.16_2"	"GP2"	chr16	-	20334702	20334711	20335137	20335383	20334190	20334301	20337659	20337789
145	"ENSG00000169347.16_2"	"GP2"	chr16	-	20334702	20334711	20335137	20335578	20334190	20334301	20337659	20337789
146	"ENSG00000169347.16_2"	"GP2"	chr16	-	20335137	20335524	20337659	20337789	20334190	20334301	20338788	20338829
147	"ENSG00000174175.16_2"	"SELP"	chr1	-	169580729	169580915	169581454	169581640	169578741	169578927	169582166	169582352
148	"ENSG00000196482.16_2"	"ESRRG"	chr1	-	216850417	216850833	216874766	216874851	216741329	216741440	216880700	216880828
149	"ENSG00000196482.16_2"	"ESRRG"	chr1	-	216880700	216880828	216888415	216888591	216850417	216850833	217112923	217113015
150	"ENSG00000196482.16_2"	"ESRRG"	chr1	-	216880700	216880828	217038402	217038520	216850417	216850833	217112923	217113015
151	"ENSG00000196482.16_2"	"ESRRG"	chr1	-	216888415	216888591	217038402	217038520	216850417	216850833	217112923	217113015
152	"ENSG00000196482.16_2"	"ESRRG"	chr1	-	217038402	217038520	217112923	217113015	216850417	216850833	217173594	217174066
153	"ENSG00000119686.9_2"	"FLVCR2"	chr14	+	76090954	76091095	76099971	76100039	76088400	76088563	76101252	76101356
154	"ENSG00000118482.11_1"	"PHF3"	chr6	+	64389900	64390062	64394029	64395812	64356430	64356700	64401626	64401933
155	"ENSG00000141084.10_2"	"RANBP10"	chr16	-	67771915	67771938	67778167	67778358	67768760	67768945	67805936	67805989
156	"ENSG00000141084.10_2"	"RANBP10"	chr16	-	67778190	67778358	67805936	67805989	67771915	67771938	67839330	67839442
157	"ENSG00000141084.10_2"	"RANBP10"	chr16	-	67805936	67805989	67839330	67839442	67778190	67778358	67840204	67840463
158	"ENSG00000115970.18_2"	"THADA"	chr2	-	43655238	43655370	43712372	43712464	43625109	43625278	43725971	43726094
159	"ENSG00000163964.13_2"	"PIGX"	chr3	+	196444679	196444825	196448047	196448227	196443728	196443792	196449285	196449427
160	"ENSG00000102984.14_2"	"ZNF821"	chr16	-	71898805	71898951	71901795	71901940	71898040	71898145	71913809	71913926
161	"ENSG00000102984.14_2"	"ZNF821"	chr16	-	71898805	71898951	71901814	71901940	71898040	71898145	71913809	71913926
162	"ENSG00000103415.11_1"	"HMOX2"	chr16	+	4533637	4533755	4538644	4538743	4526340	4526488	4555484	4555611
163	"ENSG00000203705.10_2"	"TATDN3"	chr1	+	212970453	212970538	212976042	212976105	212969858	212969932	212977661	212977771
164	"ENSG00000101901.11_2"	"ALG13"	chrX	+	110925359	110925463	110925463	110925522	110924397	110924652	110928192	110928331
165	"ENSG00000142621.19_1"	"FHAD1"	chr1	+	15709651	15709898	15710302	15710426	15708523	15708689	15714546	15714627
166	"ENSG00000141644.17_1"	"MBD1"	chr18	-	47800555	47800723	47801346	47801415	47799933	47800233	47801498	47801615
167	"ENSG00000059691.11_2"	"GATB"	chr4	-	152593913	152594048	152600964	152601043	152591655	152592454	152609781	152609915
168	"ENSG00000136643.11_1"	"RPS6KC1"	chr1	+	213244347	213244383	213251037	213251158	213224596	213224851	213277795	213277911
169	"ENSG00000136643.11_1"	"RPS6KC1"	chr1	+	213290658	213290752	213302869	213303232	213277795	213277911	213341200	213341316
170	"ENSG00000177380.13_2"	"PPFIA3"	chr19	+	49641461	49641684	49642924	49643088	49639980	49640168	49643217	49643345
171	"ENSG00000162148.10_2"	"PPP1R32"	chr11	+	61253815	61253875	61253995	61254082	61253270	61253383	61254419	61254533
172	"ENSG00000135253.13_2"	"KCP"	chr7	-	128544336	128544433	128546331	128546416	128544108	128544191	128547153	128547230
173	"ENSG00000102181.20_2"	"CD99L2"	chrX	-	149984751	149984928	149996778	149998077	149984479	149984551	149999703	149999766
174	"ENSG00000114544.16_2"	"SLC41A3"	chr3	-	125775200	125775356	125786328	125786429	125769785	125769893	125786789	125787089
175	"ENSG00000203710.10_1"	"CR1"	chr1	+	207696955	207697354	207715526	207715925	207684913	207684999	207718652	207718829
176	"ENSG00000203710.10_1"	"CR1"	chr1	+	207700097	207700274	207718652	207718829	207696955	207697354	207718920	207719023
177	"ENSG00000203710.10_1"	"CR1"	chr1	+	207715526	207715925	207734083	207734482	207684913	207684999	207737208	207737385
178	"ENSG00000203710.10_1"	"CR1"	chr1	+	207715526	207715925	207734083	207734482	207713325	207713411	207737208	207737385
179	"ENSG00000203710.10_1"	"CR1"	chr1	+	207718652	207718829	207737208	207737385	207715526	207715925	207737476	207737579
180	"ENSG00000157823.16_2"	"AP3S2"	chr15	-	90420537	90420656	90421496	90421532	90414706	90414778	90431752	90431864
181	"ENSG00000042980.12_1"	"ADAM28"	chr8	+	24178730	24178802	24178827	24178961	24177748	24177820	24181346	24181516
182	"ENSG00000169764.14_2"	"UGP2"	chr2	+	64069672	64069733	64082017	64082070	64068102	64068366	64083439	64083567
183	"ENSG00000169764.14_2"	"UGP2"	chr2	+	64083921	64084016	64084683	64084852	64083439	64083567	64084962	64085070
184	"ENSG00000143401.14_2"	"ANP32E"	chr1	-	150201404	150201570	150202905	150203028	150198939	150199127	150204114	150204264
185	"ENSG00000156171.14_1"	"DRAM2"	chr1	-	111665237	111665265	111667363	111667503	111663137	111663315	111668848	111668916
186	"ENSG00000160439.15_2"	"RDH13"	chr19	-	55575663	55575780	55579780	55579898	55570524	55570643	55580689	55580897
187	"ENSG00000105877.17_1"	"DNAH11"	chr7	+	21721296	21721302	21721339	21721345	21721163	21721295	21723401	21723562
188	"ENSG00000188283.11_1"	"ZNF383"	chr19	+	37710500	37710651	37715719	37715841	37708827	37709176	37721310	37721364
189	"ENSG00000062716.11_2"	"VMP1"	chr17	+	57812698	57812834	57814813	57814904	57808781	57808883	57816197	57816308
190	"ENSG00000107669.17_2"	"ATE1"	chr10	-	123658355	123658484	123659380	123659509	123629520	123629553	123661905	123662135
191	"ENSG00000141052.17_1"	"MYOCD"	chr17	+	12659730	12659874	12661401	12661530	12655730	12656663	12663966	12664024
192	"ENSG00000204482.10_2"	"LST1"	chr6	+	31555417	31555510	31555720	31555743	31554976	31555095	31556294	31556686
193	"ENSG00000148985.19_2"	"PGAP2"	chr11	+	3832479	3832654	3844138	3844223	3829523	3829545	3844842	3844970
194	"ENSG00000148985.19_2"	"PGAP2"	chr11	+	3832479	3832654	3844842	3844970	3829523	3829545	3845112	3845365
195	"ENSG00000148985.19_2"	"PGAP2"	chr11	+	3832479	3832654	3845112	3845365	3829523	3829545	3845499	3845594
196	"ENSG00000148985.19_2"	"PGAP2"	chr11	+	3838582	3838765	3844138	3844223	3832479	3832654	3845112	3845365
197	"ENSG00000148985.19_2"	"PGAP2"	chr11	+	3844138	3844223	3844842	3844970	3829523	3829545	3845112	3845365
198	"ENSG00000106258.13_1"	"CYP3A5"	chr7	-	99264223	99264312	99264335	99264433	99262788	99262937	99264574	99264688
199	"ENSG00000125734.14_2"	"GPR108"	chr19	-	6735632	6735715	6735918	6735969	6734193	6734318	6736602	6736722
200	"ENSG00000198954.7_2"	"KIF1BP"	chr10	+	70766597	70766685	70767382	70767507	70765487	70765671	70768596	70768681
201	"ENSG00000188120.14_1"	"DAZ1"	chrY	-	25284356	25284428	25285993	25286028	25281321	25281420	25286772	25286844
202	"ENSG00000093144.18_1"	"ECHDC1"	chr6	-	127636279	127636283	127637594	127637647	127635960	127636041	127648146	127648289
203	"ENSG00000118194.18_2"	"TNNT2"	chr1	-	201338943	201338973	201341154	201341169	201337289	201337355	201341272	201341283
204	"ENSG00000189223.14_2"	"PAX8-AS1"	chr2	+	113994089	113994199	113995666	113995789	113993106	113993147	114012966	114013126
205	"ENSG00000118495.18_1"	"PLAGL1"	chr6	-	144269121	144269597	144281605	144281679	144261438	144263800	144290043	144290115
206	"ENSG00000118495.18_1"	"PLAGL1"	chr6	-	144285923	144285955	144287294	144287335	144281605	144281679	144290043	144290115
207	"ENSG00000169045.13"	"HNRNPH1"	chr5	-	179046269	179046408	179047892	179048036	179045145	179045324	179048242	179048398
208	"ENSG00000169045.13"	"HNRNPH1"	chr5	-	179047892	179048036	179048242	179048398	179046269	179046408	179050037	179050165
209	"ENSG00000092108.20_2"	"SCFD1"	chr14	+	31097414	31097485	31099682	31099771	31091524	31091605	31103152	31103243
210	"ENSG00000092108.20_2"	"SCFD1"	chr14	+	31103152	31103243	31108982	31109070	31099682	31099771	31112521	31112611
211	"ENSG00000140463.13_2"	"BBS4"	chr15	+	72990332	72990378	72996764	72996822	72987517	72987569	73002040	73002120
212	"ENSG00000109133.12_1"	"TMEM33"	chr4	+	41941212	41941400	41941737	41941845	41940618	41940713	41945763	41945831
213	"ENSG00000172888.11_1"	"ZNF621"	chr3	+	40570809	40570936	40570985	40571066	40567269	40567355	40571699	40571807
214	"ENSG00000111554.14_1"	"MDM1"	chr12	-	68719220	68719355	68720436	68720801	68716852	68717020	68724886	68725001
215	"ENSG00000225241.3"	"RP11-640M9.2"	chr1	+	144606837	144607061	144614839	144614993	144606368	144606510	144615095	144615303
216	"ENSG00000148513.17_2"	"ANKRD30A"	chr10	+	37455532	37455623	37466593	37466684	37454021	37454083	37470249	37470278
217	"ENSG00000074416.13_2"	"MGLL"	chr3	-	127413817	127414033	127429418	127429508	127410959	127411166	127439895	127440006
218	"ENSG00000175063.16_1"	"UBE2C"	chr20	+	44443022	44443109	44444028	44444179	44442075	44442103	44444492	44444552
