Sample	ACCUMULATION_LEVEL	WINDOW_SIZE	TOTAL_CLUSTERS	ALIGNED_READS	AT_DROPOUT	GC_DROPOUT	GC_NC_0_19	GC_NC_20_39	GC_NC_40_59	GC_NC_60_79	GC_NC_80_100	SAMPLE	LIBRARY	READ_GROUP
BSS_B04	All Reads	100.0	48199187.0	67650842.0	22.785635	9.3e-05	0.241224	0.582721	1.058662	3.736089	53.096375			
BSS_B05	All Reads	100.0	57865496.0	86365888.0	25.677284	4e-05	0.19497	0.536262	1.044249	3.972944	72.229883			
BSS_B06	All Reads	100.0	65576067.0	100725630.0	18.892818	4.5e-05	0.292404	0.649757	1.05243	3.234269	46.801968			
BSS_C01	All Reads	100.0	50507077.0	73369798.0	20.821648	0.000361	0.279121	0.613654	1.078115	3.512623	38.743215			
BSS_C02	All Reads	100.0	53680865.0	64276300.0	37.95693	0.000162	0.054969	0.26644	1.299991	3.301723	117.833483			
BSS_C03	All Reads	100.0	50614479.0	67671780.0	24.495426	0.00029	0.166545	0.538649	1.107283	3.679301	54.96203			
BSS_C04	All Reads	100.0	41155265.0	59013230.0	21.827068	0.000309	0.225893	0.584892	1.104003	3.323576	50.41156			
BSS_C05	All Reads	100.0	46640177.0	68214128.0	18.738794	0.00011	0.326557	0.64899	1.08704	3.091545	37.06924			
BSS_C06	All Reads	100.0	58819820.0	85420276.0	16.176526	4.4e-05	0.356109	0.691964	1.077643	2.553162	46.475387			
BSS_D01	All Reads	100.0	51859993.0	74627310.0	22.871807	0.000319	0.246369	0.584687	1.068435	3.846731	41.776454			
BSS_D03	All Reads	100.0	56504194.0	75254518.0	27.605722	0.000234	0.189865	0.497618	1.088047	4.023805	67.828104			
BSS_D04	All Reads	100.0	49888849.0	73027198.0	25.221884	0.00029	0.180865	0.514506	1.183713	3.359334	45.527677			
BSS_D05	All Reads	100.0	66366377.0	93986850.0	25.498594	0.0001	0.187465	0.519752	1.100855	3.591883	71.849708			
BSS_D06	All Reads	100.0	46888205.0	66024764.0	23.08492	4.2e-05	0.210045	0.569816	1.069548	3.562867	63.138691			
BSS_E02	All Reads	100.0	50231049.0	72933906.0	22.042707	0.000298	0.209974	0.582473	1.097783	3.586915	41.715236			
BSS_E03	All Reads	100.0	47194604.0	67995664.0	22.255965	0.00034	0.232834	0.588724	1.080592	3.654146	43.457251			
BSS_E04	All Reads	100.0	48824631.0	73516000.0	21.250632	0.000191	0.256825	0.598664	1.107511	3.325081	41.417734			
BSS_E05	All Reads	100.0	67449749.0	100542404.0	22.402817	8.2e-05	0.236308	0.579259	1.092179	3.511173	49.647254			
BSS_E06	All Reads	100.0	50972548.0	74439360.0	18.79738	4.6e-05	0.279031	0.644307	1.079312	3.173128	39.532913			
BSS_F01	All Reads	100.0	43316157.0	52084146.0	24.124709	0.000132	0.233822	0.548455	1.09001	3.310315	76.286901			
BSS_F02	All Reads	100.0	36418110.0	59403910.0	21.292499	5.4e-05	0.241576	0.604869	1.069904	3.3338	56.383786			
BSS_F03	All Reads	100.0	39862192.0	58672086.0	22.806849	0.000222	0.213456	0.571474	1.10899	3.54423	43.881517			
BSS_F04	All Reads	100.0	45461201.0	67892214.0	18.664282	0.000224	0.304977	0.651461	1.068906	3.249546	37.014756			
BSS_F05	All Reads	100.0	67846883.0	100325172.0	20.737677	4.3e-05	0.258846	0.604889	1.114347	3.213403	40.456735			
BSS_F06	All Reads	100.0	43400500.0	64874376.0	23.50278	4.5e-05	0.22904	0.56031	1.077804	3.517853	65.992934			
BSS_G01	All Reads	100.0	53093667.0	77569482.0	18.452649	0.000207	0.324848	0.658103	1.062958	3.227511	37.512328			
BSS_G02	All Reads	100.0	39454687.0	57586232.0	16.466219	0.000367	0.358206	0.686968	1.106485	2.829455	21.12574			
BSS_G03	All Reads	100.0	43253738.0	61867566.0	17.677544	0.000235	0.333242	0.663286	1.100383	2.872142	34.159425			
BSS_G04	All Reads	100.0	45751319.0	66369264.0	25.894734	6.1e-05	0.196867	0.527296	1.071241	3.937528	65.288384			
BSS_G05	All Reads	100.0	60002410.0	85863898.0	27.657468	3.2e-05	0.197998	0.508901	1.041953	4.046734	83.497432			
BSS_G06	All Reads	100.0	51841715.0	59558154.0	36.052585	3.6e-05	0.07043	0.360189	1.009615	4.202146	167.785019			
BSS_H01	All Reads	100.0	36753854.0	54536836.0	22.271639	0.000249	0.234449	0.585991	1.086143	3.694684	40.092663			
BSS_H02	All Reads	100.0	40830795.0	59293886.0	22.663045	6.6e-05	0.239207	0.581212	1.079092	3.480988	56.547401			
BSS_H03	All Reads	100.0	36163892.0	54258754.0	20.172396	9.3e-05	0.278413	0.623668	1.063222	3.363872	48.373339			
BSS_H04	All Reads	100.0	40803767.0	59258382.0	23.864468	4.8e-05	0.232741	0.567047	1.041682	3.701551	71.119758			
BSS_H05	All Reads	100.0	49301423.0	68922380.0	20.359791	5.4e-05	0.299723	0.611737	1.105403	2.992731	52.028753			
BSS_H06	All Reads	100.0	42854299.0	56817278.0	10.844201	4.7e-05	0.466756	0.794235	1.057191	1.863079	38.229902			
