ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
27	"ENSG00000172613.7_2"	"RAD9A"	chr11	+	67163581	67163646	67163581	67163642	67163733	67163871
28	"ENSG00000279094.3_1"	"CH507-24F1.1"	chrGL000205.1	+	36337	36432	36337	36389	36586	36631
29	"ENSG00000081760.16_2"	"AACS"	chr12	+	125609250	125609570	125609250	125609315	125612706	125612820
30	"ENSG00000100483.13_1"	"VCPKMT"	chr14	-	50582786	50582897	50582797	50582897	50582556	50582629
31	"ENSG00000160209.18_1"	"PDXK"	chr21	+	45152019	45152528	45152019	45152323	45153949	45154004
32	"ENSG00000146540.14_2"	"C7orf50"	chr7	-	1177824	1177893	1177853	1177893	1166892	1167022
33	"ENSG00000211456.10_1"	"SACM1L"	chr3	+	45730950	45731037	45730950	45730989	45744929	45745027
34	"ENSG00000229117.8_1"	"RPL41"	chr12	+	56510558	56510613	56510558	56510583	56510972	56510995
35	"ENSG00000229117.8_1"	"RPL41"	chr12	+	56510558	56510714	56510558	56510583	56510972	56510995
36	"ENSG00000229117.8_1"	"RPL41"	chr12	+	56510558	56510714	56510558	56510613	56510972	56510995
37	"ENSG00000182050.13_2"	"MGAT4C"	chr12	-	86407458	86407536	86407504	86407536	86405577	86405680
38	"ENSG00000170325.14_2"	"PRDM10"	chr11	-	129781979	129782120	129782018	129782120	129780370	129780551
39	"ENSG00000196739.14_1"	"COL27A1"	chr9	+	116994101	116994146	116994101	116994138	116997878	116997932
40	"ENSG00000196739.14_1"	"COL27A1"	chr9	+	117014872	117014933	117014872	117014926	117015158	117015212
41	"ENSG00000170540.14_2"	"ARL6IP1"	chr16	-	18810022	18810156	18810044	18810156	18809246	18809366
42	"ENSG00000108852.14_1"	"MPP2"	chr17	-	41975611	41975748	41975629	41975748	41960570	41960723
43	"ENSG00000108852.14_1"	"MPP2"	chr17	-	41975611	41975748	41975647	41975748	41960570	41960723
44	"ENSG00000108852.14_1"	"MPP2"	chr17	-	41975629	41975748	41975647	41975748	41960570	41960723
45	"ENSG00000108852.14_1"	"MPP2"	chr17	-	41975629	41975748	41975647	41975748	41961451	41961523
46	"ENSG00000130475.14_1"	"FCHO1"	chr19	+	17865125	17865275	17865125	17865170	17865400	17865494
47	"ENSG00000130475.14_1"	"FCHO1"	chr19	+	17865125	17865275	17865125	17865170	17865926	17866000
48	"ENSG00000130475.14_1"	"FCHO1"	chr19	+	17865400	17865567	17865400	17865430	17865926	17866000
49	"ENSG00000140398.13_2"	"NEIL1"	chr15	+	75646590	75646833	75646590	75646618	75646993	75647159
50	"ENSG00000164451.13_2"	"FAM26D"	chr6	+	116850208	116850353	116850208	116850298	116864927	116865035
51	"ENSG00000253507.5_1"	"CTD-2501M5.1"	chr8	+	132324802	132324995	132324802	132324976	132328006	132328130
52	"ENSG00000109184.14_1"	"DCUN1D4"	chr4	+	52752733	52753410	52752733	52752804	52757925	52758017
53	"ENSG00000104805.15_2"	"NUCB1"	chr19	+	49404042	49404378	49404042	49404188	49407603	49407711
54	"ENSG00000104805.15_2"	"NUCB1"	chr19	+	49416730	49416821	49416730	49416789	49421923	49422001
55	"ENSG00000104805.15_2"	"NUCB1"	chr19	+	49416730	49416821	49416730	49416789	49421982	49422041
56	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110388971	110389121	110389016	110389121	110376969	110377052
57	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110388971	110389121	110389016	110389121	110383064	110383154
58	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110388971	110389121	110389016	110389121	110385060	110385309
59	"ENSG00000172243.17_1"	"CLEC7A"	chr12	-	10279169	10280444	10280345	10280444	10277895	10278047
60	"ENSG00000189180.15_1"	"ZNF33A"	chr10	+	38305798	38305948	38305798	38305943	38306218	38306314
61	"ENSG00000089682.16_1"	"RBM41"	chrX	-	106331665	106332069	106331964	106332069	106312484	106313655
62	"ENSG00000184571.13_1"	"PIWIL3"	chr22	-	25158273	25158488	25158364	25158488	25155835	25155956
63	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282787	70283042	70282845	70283042	70278334	70278437
64	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70310638	70310819	70310669	70310819	70278334	70278437
65	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70310638	70310819	70310669	70310819	70286774	70286812
66	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70310638	70310819	70310669	70310819	70304432	70304513
67	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70312947	70313404	70313255	70313404	70312678	70312756
68	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70313186	70313399	70313255	70313399	70312678	70312756
69	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70313383	70313617	70313562	70313617	70312678	70312756
70	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70313383	70313617	70313562	70313617	70312947	70313035
71	"ENSG00000248049.6_2"	"UBA6-AS1"	chr4	+	68586139	68586769	68586139	68586350	68587194	68588223
72	"ENSG00000171130.17_1"	"ATP6V0E2"	chr7	+	149571892	149572122	149571892	149572024	149572686	149572734
73	"ENSG00000140939.14_1"	"NOL3"	chr16	+	67208064	67208357	67208064	67208243	67208523	67208847
74	"ENSG00000140939.14_1"	"NOL3"	chr16	+	67208064	67208367	67208064	67208243	67208523	67208847
75	"ENSG00000140939.14_1"	"NOL3"	chr16	+	67208064	67208367	67208064	67208357	67208523	67208847
76	"ENSG00000221914.8_2"	"PPP2R2A"	chr8	+	26150731	26150882	26150731	26150799	26151181	26151256
77	"ENSG00000221914.8_2"	"PPP2R2A"	chr8	+	26151181	26151376	26151181	26151256	26196405	26196503
78	"ENSG00000221914.8_2"	"PPP2R2A"	chr8	+	26220199	26221406	26220199	26220364	26223830	26223922
79	"ENSG00000157036.12_2"	"EXOG"	chr3	+	38539119	38539269	38539119	38539175	38540416	38540480
80	"ENSG00000157036.12_2"	"EXOG"	chr3	+	38539119	38539180	38539119	38539175	38542845	38542985
81	"ENSG00000157036.12_2"	"EXOG"	chr3	+	38539119	38539269	38539119	38539175	38542845	38542985
82	"ENSG00000157036.12_2"	"EXOG"	chr3	+	38539119	38539269	38539119	38539180	38542845	38542985
83	"ENSG00000225886.3_1"	"RP11-288L9.4"	chr1	+	27996000	27996097	27996000	27996051	28002238	28002370
84	"ENSG00000108370.16_2"	"RGS9"	chr17	+	63173849	63173921	63173849	63173912	63185403	63185433
85	"ENSG00000108370.16_2"	"RGS9"	chr17	+	63204039	63204129	63204039	63204125	63206605	63206723
86	"ENSG00000164304.15_2"	"CAGE1"	chr6	-	7368920	7369031	7368986	7369031	7366036	7366117
87	"ENSG00000164304.15_2"	"CAGE1"	chr6	-	7378849	7379253	7378854	7379253	7373305	7374364
88	"ENSG00000164304.15_2"	"CAGE1"	chr6	-	7389434	7389635	7389515	7389635	7387211	7387429
89	"ENSG00000055609.17_2"	"KMT2C"	chr7	-	151842237	151842380	151842249	151842380	151841797	151841966
90	"ENSG00000055609.17_2"	"KMT2C"	chr7	-	151855941	151856157	151855947	151856157	151853289	151853431
91	"ENSG00000055609.17_2"	"KMT2C"	chr7	-	151855941	151856157	151855947	151856157	151854845	151855010
92	"ENSG00000107864.14_1"	"CPEB3"	chr10	-	93952233	93952393	93952302	93952393	93940719	93940776
93	"ENSG00000145041.15_2"	"DCAF1"	chr3	-	51500818	51500892	51500821	51500892	51497129	51497243
94	"ENSG00000086848.14_2"	"ALG9"	chr11	-	111740950	111741093	111740954	111741093	111739324	111739459
95	"ENSG00000141295.13_1"	"SCRN2"	chr17	-	45915635	45915816	45915701	45915816	45915085	45915368
96	"ENSG00000172663.8_2"	"TMEM134"	chr11	-	67234635	67234859	67234782	67234859	67232526	67232738
97	"ENSG00000172663.8_2"	"TMEM134"	chr11	-	67235487	67235563	67235498	67235563	67234971	67235034
98	"ENSG00000172663.8_2"	"TMEM134"	chr11	-	67235487	67235563	67235498	67235563	67234971	67235061
99	"ENSG00000100865.14_1"	"CINP"	chr14	-	102822104	102822234	102822108	102822234	102814847	102815096
100	"ENSG00000100865.14_1"	"CINP"	chr14	-	102822104	102822234	102822108	102822234	102816255	102816385
101	"ENSG00000100865.14_1"	"CINP"	chr14	-	102822104	102822234	102822108	102822234	102818755	102818892
102	"ENSG00000131143.8_2"	"COX4I1"	chr16	+	85838542	85838759	85838542	85838710	85839338	85839470
103	"ENSG00000131143.8_2"	"COX4I1"	chr16	+	85838542	85838757	85838542	85838710	85839338	85840574
104	"ENSG00000105197.10_2"	"TIMM50"	chr19	+	39973524	39973603	39973524	39973556	39973774	39973796
105	"ENSG00000077080.9_1"	"ACTL6B"	chr7	-	100253043	100253502	100253425	100253502	100247660	100247758
106	"ENSG00000077080.9_1"	"ACTL6B"	chr7	-	100253043	100253502	100253425	100253502	100252641	100252742
107	"ENSG00000106638.15_1"	"TBL2"	chr7	-	72988267	72988452	72988290	72988452	72987649	72987801
108	"ENSG00000106638.15_1"	"TBL2"	chr7	-	72992749	72993121	72993072	72993121	72988712	72988843
109	"ENSG00000001460.17_1"	"STPG1"	chr1	-	24710356	24710493	24710391	24710493	24706142	24706313
110	"ENSG00000147408.14_2"	"CSGALNACT1"	chr8	-	19459502	19460006	19459912	19460006	19459281	19459376
111	"ENSG00000130396.20_2"	"MLLT4"	chr6	+	168343808	168343874	168343808	168343871	168344081	168344155
112	"ENSG00000130396.20_2"	"MLLT4"	chr6	+	168366436	168366725	168366436	168366533	168369793	168369878
113	"ENSG00000183960.8_1"	"KCNH8"	chr3	+	19491597	19492896	19491597	19491797	19498259	19498474
114	"ENSG00000100385.13_1"	"IL2RB"	chr22	-	37570997	37571094	37571033	37571094	37540124	37540245
115	"ENSG00000076067.11_1"	"RBMS2"	chr12	+	56981337	56981448	56981337	56981443	56982077	56982158
116	"ENSG00000090857.13_1"	"PDPR"	chr16	+	70179657	70179736	70179657	70179700	70180036	70180131
117	"ENSG00000250305.8_2"	"KIAA1456"	chr8	+	12848342	12848540	12848342	12848509	12863710	12863865
118	"ENSG00000250305.8_2"	"KIAA1456"	chr8	+	12870192	12870366	12870192	12870302	12888622	12889012
119	"ENSG00000237940.3_2"	"AC093642.3"	chr2	+	242913525	242913644	242913525	242913613	242913835	242913926
120	"ENSG00000182446.13_2"	"NPLOC4"	chr17	-	79534959	79535101	79534979	79535101	79534442	79534559
121	"ENSG00000142910.15_1"	"TINAGL1"	chr1	+	32051040	32051477	32051040	32051086	32052310	32052356
122	"ENSG00000167555.13_2"	"ZNF528"	chr19	+	52901120	52901157	52901120	52901153	52901619	52901872
123	"ENSG00000149100.12_2"	"EIF3M"	chr11	+	32615411	32616559	32615411	32615495	32617511	32617593
124	"ENSG00000135686.12_1"	"KLHL36"	chr16	+	84690476	84691550	84690476	84691519	84693365	84693523
125	"ENSG00000156983.15_2"	"BRPF1"	chr3	+	9783708	9783855	9783708	9783837	9784627	9784937
126	"ENSG00000166634.6_1"	"SERPINB12"	chr18	+	61225584	61225719	61225584	61225659	61226810	61226951
127	"ENSG00000118322.12_1"	"ATP10B"	chr5	-	160212565	160212810	160212742	160212810	160114806	160115101
128	"ENSG00000118322.12_1"	"ATP10B"	chr5	-	160212565	160212810	160212742	160212810	160143915	160144041
129	"ENSG00000255036.6_2"	"RP11-23J9.4"	chr9	+	100086062	100086220	100086062	100086185	100087300	100087474
130	"ENSG00000255036.6_2"	"RP11-23J9.4"	chr9	+	100109595	100109948	100109595	100109771	100111372	100111573
131	"ENSG00000255036.6_2"	"RP11-23J9.4"	chr9	+	100109595	100109948	100109595	100109771	100111392	100111573
132	"ENSG00000255036.6_2"	"RP11-23J9.4"	chr9	+	100109595	100109948	100109595	100109771	100112690	100112837
133	"ENSG00000118276.11_1"	"B4GALT6"	chr18	-	29206951	29207084	29206961	29207084	29206245	29206347
134	"ENSG00000230102.7_2"	"RP11-407B7.1"	chr3	-	193775421	193775604	193775425	193775604	193773267	193773374
135	"ENSG00000167785.8_1"	"ZNF558"	chr19	-	8932117	8932767	8932678	8932767	8931855	8931982
136	"ENSG00000109917.10_2"	"ZPR1"	chr11	-	116655570	116655637	116655574	116655637	116655093	116655164
137	"ENSG00000106278.11_1"	"PTPRZ1"	chr7	+	121650387	121653943	121650387	121651363	121659177	121659322
138	"ENSG00000106278.11_1"	"PTPRZ1"	chr7	+	121650387	121653943	121650387	121651363	121668605	121668697
139	"ENSG00000204161.13_2"	"C10orf128"	chr10	-	50374489	50375054	50374913	50375054	50373810	50373841
140	"ENSG00000185046.18_2"	"ANKS1B"	chr12	-	99638119	99638192	99638131	99638192	99548066	99548173
141	"ENSG00000163472.18_1"	"TMEM79"	chr1	+	156254974	156255774	156254974	156255058	156256050	156256264
142	"ENSG00000141837.19_2"	"CACNA1A"	chr19	-	13321430	13323030	13322916	13323030	13320125	13320312
143	"ENSG00000141837.19_2"	"CACNA1A"	chr19	-	13414350	13414427	13414359	13414427	13411363	13411470
144	"ENSG00000110881.11_1"	"ASIC1"	chr12	+	50470750	50470843	50470750	50470832	50470995	50471146
145	"ENSG00000110881.11_1"	"ASIC1"	chr12	+	50474280	50474510	50474280	50474372	50474884	50474964
146	"ENSG00000111247.14_1"	"RAD51AP1"	chr12	+	4652928	4653077	4652928	4653070	4654384	4654478
147	"ENSG00000111247.14_1"	"RAD51AP1"	chr12	+	4652928	4653077	4652928	4653070	4655474	4655584
148	"ENSG00000111247.14_1"	"RAD51AP1"	chr12	+	4652928	4653077	4652928	4653070	4657257	4657344
149	"ENSG00000111247.14_1"	"RAD51AP1"	chr12	+	4662148	4662313	4662148	4662255	4665518	4665716
150	"ENSG00000048540.14_2"	"LMO3"	chr12	-	16753534	16753802	16753588	16753802	16713346	16713472
151	"ENSG00000048540.14_2"	"LMO3"	chr12	-	16753534	16753802	16753647	16753802	16713346	16713472
152	"ENSG00000048540.14_2"	"LMO3"	chr12	-	16753588	16753802	16753647	16753802	16713346	16713472
153	"ENSG00000048540.14_2"	"LMO3"	chr12	-	16753534	16753802	16753588	16753802	16747070	16747195
154	"ENSG00000048540.14_2"	"LMO3"	chr12	-	16753534	16753802	16753647	16753802	16747070	16747195
155	"ENSG00000048540.14_2"	"LMO3"	chr12	-	16753588	16753802	16753647	16753802	16747070	16747195
156	"ENSG00000048540.14_2"	"LMO3"	chr12	-	16753534	16753802	16753588	16753802	16751808	16751901
157	"ENSG00000048540.14_2"	"LMO3"	chr12	-	16753534	16753802	16753647	16753802	16751808	16751901
158	"ENSG00000048540.14_2"	"LMO3"	chr12	-	16753588	16753802	16753647	16753802	16751808	16751901
159	"ENSG00000169733.11_2"	"RFNG"	chr17	-	80008887	80009218	80009169	80009218	80008537	80008640
160	"ENSG00000226383.6_2"	"AC093375.1"	chr2	-	156880977	156881119	156880996	156881119	156879183	156879329
161	"ENSG00000226383.6_2"	"AC093375.1"	chr2	-	156880981	156881088	156880996	156881088	156879183	156879329
162	"ENSG00000241472.6_1"	"PTPRG-AS1"	chr3	-	62304465	62304567	62304540	62304567	62303482	62303575
163	"ENSG00000166839.16_2"	"ANKDD1A"	chr15	+	65209584	65209701	65209584	65209683	65212017	65212175
164	"ENSG00000166839.16_2"	"ANKDD1A"	chr15	+	65209584	65209713	65209584	65209683	65212017	65212175
165	"ENSG00000166839.16_2"	"ANKDD1A"	chr15	+	65209584	65209713	65209584	65209701	65212017	65212175
166	"ENSG00000166839.16_2"	"ANKDD1A"	chr15	+	65209584	65209701	65209584	65209683	65214119	65214218
167	"ENSG00000166839.16_2"	"ANKDD1A"	chr15	+	65209584	65209713	65209584	65209683	65214119	65214218
168	"ENSG00000166839.16_2"	"ANKDD1A"	chr15	+	65209584	65209713	65209584	65209701	65214119	65214218
169	"ENSG00000166839.16_2"	"ANKDD1A"	chr15	+	65209584	65209701	65209584	65209683	65223019	65223118
170	"ENSG00000213079.9_2"	"SCAF8"	chr6	+	155054511	155054684	155054511	155054637	155054928	155055064
171	"ENSG00000213079.9_2"	"SCAF8"	chr6	+	155054511	155054684	155054511	155054637	155054980	155055064
172	"ENSG00000082641.15_2"	"NFE2L1"	chr17	+	46127968	46128181	46127968	46128143	46133747	46133960
173	"ENSG00000082641.15_2"	"NFE2L1"	chr17	+	46127968	46128990	46127968	46128143	46133747	46133960
174	"ENSG00000082641.15_2"	"NFE2L1"	chr17	+	46127968	46128990	46127968	46128181	46133747	46133960
175	"ENSG00000173120.14_1"	"KDM2A"	chr11	+	67017556	67018269	67017556	67017817	67020164	67020328
176	"ENSG00000223959.8_1"	"AFG3L1P"	chr16	+	90048180	90048331	90048180	90048326	90050938	90051007
177	"ENSG00000223959.8_1"	"AFG3L1P"	chr16	+	90050938	90051025	90050938	90051007	90051853	90051978
178	"ENSG00000223959.8_1"	"AFG3L1P"	chr16	+	90050938	90051025	90050938	90051007	90055259	90055359
179	"ENSG00000223959.8_1"	"AFG3L1P"	chr16	+	90050938	90051025	90050938	90051007	90057273	90057411
180	"ENSG00000178053.17_1"	"MLF1"	chr3	+	158311170	158311215	158311170	158311210	158314650	158314734
181	"ENSG00000149084.12_2"	"HSD17B12"	chr11	+	43702344	43702733	43702344	43702537	43772460	43772507
182	"ENSG00000141401.11_1"	"IMPA2"	chr18	+	12012168	12012348	12012168	12012214	12014263	12014372
183	"ENSG00000170852.10_2"	"KBTBD2"	chr7	-	32919046	32919554	32919312	32919554	32914603	32914769
184	"ENSG00000116299.16_1"	"KIAA1324"	chr1	+	109716095	109716201	109716095	109716179	109716309	109716459
185	"ENSG00000116299.16_1"	"KIAA1324"	chr1	+	109716095	109716201	109716095	109716179	109730798	109730976
186	"ENSG00000164144.15_2"	"ARFIP1"	chr4	+	153701088	153701378	153701088	153701243	153750776	153750878
187	"ENSG00000126214.21_2"	"KLC1"	chr14	+	104129038	104129264	104129038	104129258	104135847	104135935
188	"ENSG00000126214.21_2"	"KLC1"	chr14	+	104145720	104145882	104145720	104145855	104151322	104151373
189	"ENSG00000126214.21_2"	"KLC1"	chr14	+	104145720	104145882	104145720	104145855	104153417	104153548
190	"ENSG00000126214.21_2"	"KLC1"	chr14	+	104145720	104145882	104145720	104145855	104159889	104160080
191	"ENSG00000126214.21_2"	"KLC1"	chr14	+	104145720	104145882	104145720	104145855	104166991	104167064
192	"ENSG00000203878.11_1"	"CHIAP2"	chr1	+	111824172	111824483	111824172	111824374	111825040	111825097
193	"ENSG00000132122.11_2"	"SPATA6"	chr1	-	48821341	48821441	48821389	48821441	48771458	48771550
194	"ENSG00000104064.16_1"	"GABPB1"	chr15	-	50593417	50593565	50593453	50593565	50592985	50593099
195	"ENSG00000070985.13_1"	"TRPM5"	chr11	-	2442255	2442428	2442261	2442428	2441451	2441635
196	"ENSG00000183762.12_1"	"KREMEN1"	chr22	+	29534611	29534821	29534611	29534770	29536269	29536354
197	"ENSG00000162458.12_2"	"FBLIM1"	chr1	+	16084668	16084850	16084668	16084824	16090987	16091180
198	"ENSG00000162458.12_2"	"FBLIM1"	chr1	+	16084668	16084850	16084668	16084824	16090990	16091180
199	"ENSG00000162458.12_2"	"FBLIM1"	chr1	+	16090990	16091180	16090990	16091042	16091458	16091728
200	"ENSG00000148358.19_1"	"GPR107"	chr9	+	132839577	132839657	132839577	132839653	132841908	132842048
201	"ENSG00000125458.6_2"	"NT5C"	chr17	-	73127059	73127200	73127139	73127200	73126847	73126962
202	"ENSG00000125458.6_2"	"NT5C"	chr17	-	73127059	73127376	73127275	73127376	73126847	73126962
203	"ENSG00000125458.6_2"	"NT5C"	chr17	-	73127139	73127376	73127275	73127376	73126847	73126962
204	"ENSG00000007384.15_1"	"RHBDF1"	chr16	-	109246	109347	109296	109347	108971	109091
205	"ENSG00000184575.11_1"	"XPOT"	chr12	+	64818817	64818962	64818817	64818918	64819117	64819237
206	"ENSG00000187838.16_2"	"TMEM256-PLSCR3"	chr17	-	7296462	7296828	7296785	7296828	7296109	7296271
207	"ENSG00000187838.16_2"	"TMEM256-PLSCR3"	chr17	-	7296919	7297586	7297422	7297586	7296785	7296828
208	"ENSG00000173175.14_2"	"ADCY5"	chr3	-	123086746	123086893	123086751	123086893	123071278	123071428
209	"ENSG00000070087.13_2"	"PFN2"	chr3	-	149686144	149686337	149686189	149686337	149683966	149684051
210	"ENSG00000021300.13_2"	"PLEKHB1"	chr11	+	73358699	73358940	73358699	73358783	73360056	73360132
211	"ENSG00000145194.17_1"	"ECE2"	chr3	+	183994268	183994493	183994268	183994355	183994679	183994815
212	"ENSG00000012504.13_1"	"NR1H4"	chr12	+	100926235	100926388	100926235	100926376	100928667	100928801
213	"ENSG00000182095.14_2"	"TNRC18"	chr7	-	5354610	5354779	5354614	5354779	5352133	5353490
214	"ENSG00000182095.14_2"	"TNRC18"	chr7	-	5354610	5354779	5354614	5354779	5352741	5353494
215	"ENSG00000143799.12_1"	"PARP1"	chr1	-	226553654	226555309	226555180	226555309	226552702	226552855
216	"ENSG00000001631.15_2"	"KRIT1"	chr7	-	91875103	91875228	91875157	91875228	91874215	91874485
217	"ENSG00000108587.15_2"	"GOSR1"	chr17	+	28808160	28808281	28808160	28808275	28811231	28811319
218	"ENSG00000142687.17_2"	"KIAA0319L"	chr1	-	36020389	36020588	36020500	36020588	36019950	36020120
219	"ENSG00000186652.9_2"	"PRG2"	chr11	-	57156482	57156790	57156515	57156790	57156049	57156181
220	"ENSG00000268027.5_2"	"AC006129.2"	chr19	+	42057549	42057864	42057549	42057672	42060075	42060116
221	"ENSG00000187231.13_2"	"SESTD1"	chr2	-	179981300	179981517	179981394	179981517	179979791	179979983
222	"ENSG00000146453.12_2"	"PNLDC1"	chr6	+	160224302	160224420	160224302	160224342	160224996	160225120
223	"ENSG00000088340.15_2"	"FER1L4"	chr20	-	34147889	34148131	34147929	34148131	34147281	34147394
224	"ENSG00000088340.15_2"	"FER1L4"	chr20	-	34147889	34148405	34148306	34148405	34147281	34147394
225	"ENSG00000088340.15_2"	"FER1L4"	chr20	-	34164517	34164618	34164573	34164618	34164302	34164440
226	"ENSG00000166407.13_1"	"LMO1"	chr11	-	8284884	8285405	8285218	8285405	8251837	8252051
227	"ENSG00000174720.15_2"	"LARP7"	chr4	+	113565823	113566027	113565823	113565924	113566706	113566818
228	"ENSG00000174720.15_2"	"LARP7"	chr4	+	113565823	113565924	113565823	113565855	113567506	113567607
229	"ENSG00000174720.15_2"	"LARP7"	chr4	+	113565823	113566027	113565823	113565855	113567506	113567607
230	"ENSG00000174720.15_2"	"LARP7"	chr4	+	113565823	113566027	113565823	113565924	113567506	113567607
231	"ENSG00000124067.16_2"	"SLC12A4"	chr16	-	67996146	67997462	67997339	67997462	67995477	67995609
232	"ENSG00000124067.16_2"	"SLC12A4"	chr16	-	67996146	67997462	67997367	67997462	67995477	67995609
233	"ENSG00000124067.16_2"	"SLC12A4"	chr16	-	67997339	67997462	67997367	67997462	67995477	67995609
234	"ENSG00000262919.7_2"	"FAM58A"	chrX	-	152864419	152864480	152864423	152864480	152861461	152861645
235	"ENSG00000144730.16_1"	"IL17RD"	chr3	-	57198953	57199403	57199188	57199403	57154283	57154341
236	"ENSG00000214946.13_2"	"TBC1D26"	chr17	+	15644435	15644555	15644435	15644535	15645255	15645350
237	"ENSG00000166855.9_1"	"CLPX"	chr15	-	65449115	65449270	65449181	65449270	65448029	65448194
238	"ENSG00000166855.9_1"	"CLPX"	chr15	-	65450912	65451089	65451024	65451089	65450083	65450248
239	"ENSG00000109805.9_1"	"NCAPG"	chr4	+	17827004	17827190	17827004	17827184	17829900	17830011
240	"ENSG00000156042.17_2"	"CFAP70"	chr10	-	75050983	75051202	75051107	75051202	75035203	75035356
241	"ENSG00000156042.17_2"	"CFAP70"	chr10	-	75050983	75051202	75051107	75051202	75037936	75038095
242	"ENSG00000156042.17_2"	"CFAP70"	chr10	-	75059358	75059423	75059362	75059423	75058664	75058855
243	"ENSG00000163618.17_2"	"CADPS"	chr3	-	62522119	62522256	62522170	62522256	62518545	62518733
244	"ENSG00000165972.12_1"	"CCDC38"	chr12	-	96266032	96266238	96266139	96266238	96263257	96263351
245	"ENSG00000142303.13_1"	"ADAMTS10"	chr19	-	8660645	8660787	8660656	8660787	8657646	8657754
246	"ENSG00000142303.13_1"	"ADAMTS10"	chr19	-	8660956	8661296	8661190	8661296	8660645	8660787
247	"ENSG00000160570.13_1"	"DEDD2"	chr19	-	42719284	42719404	42719299	42719404	42713851	42713992
248	"ENSG00000206561.12_2"	"COLQ"	chr3	-	15520464	15520510	15520483	15520510	15518632	15518704
249	"ENSG00000051009.10_1"	"FAM160A2"	chr11	-	6239787	6239993	6239829	6239993	6238600	6239380
250	"ENSG00000196632.10_2"	"WNK3"	chrX	-	54265300	54265532	54265441	54265532	54264774	54264905
