ID	GeneID	geneSymbol	chr	strand	IncLevel1	IncLevel2	PValue	event
633	ENSG00000135390.17_2	ATP5G2	chr12	-	0.0,0.021,0.013,0.009,0.078,0.0,0.05,0.0,0.0,0.0,0.02,NA,0.0,0.002,0.002,0.0,0.279,0.0,0.0,0.139,0.0,NA,0.0,0.053	0.045,0.0,0.139,0.02,0.167,NA,NA,0.045,0.0,0.015,0.001,0.0,0.0,0.0,0.0,0.048,0.041,0.0,NA,NA	1	A3SS
676	ENSG00000167770.11_2	OTUB1	chr11	+	0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.126,0.438,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA	0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.012,0.0,NA,0.0,NA	1	A3SS
857	ENSG00000160408.14_2	ST6GALNAC6	chr9	-	1.0,1.0,0.0,1.0,1.0,0.475,1.0,1.0,1.0,0.826,1.0,NA,1.0,0.53,0.727,1.0,1.0,1.0,0.842,1.0,1.0,1.0,0.81,0.98	1.0,1.0,1.0,0.837,1.0,1.0,1.0,1.0,1.0,0.829,1.0,NA,1.0,1.0,0.0,1.0,1.0,1.0,1.0,NA	1	A3SS
869	ENSG00000151150.21_2	ANK3	chr10	-	0.0,1.0,0.157,0.0,0.0,NA,0.0,0.0,0.069,NA,0.0,0.0,1.0,0.0,0.47,NA,NA,1.0,0.283,0.113,0.0,0.0,0.067,1.0	0.153,0.0,0.047,0.491,0.0,0.059,0.033,1.0,0.0,0.076,0.0,NA,0.0,0.0,NA,0.0,1.0,NA,0.455,NA	1	A3SS
874	ENSG00000078018.19_2	MAP2	chr2	+	0.506,0.958,1.0,0.612,0.554,0.783,NA,0.681,0.623,0.62,0.529,1.0,0.471,0.838,0.739,0.702,1.0,0.848,0.637,0.807,1.0,0.644,0.588,0.512	0.59,0.909,0.46,0.152,0.944,0.103,0.134,1.0,0.868,0.555,0.16,1.0,0.81,0.984,0.0,0.97,0.474,0.917,0.811,0.0	1	A3SS
877	ENSG00000085415.15_1	SEH1L	chr18	+	0.015,1.0,NA,1.0,1.0,1.0,NA,0.877,1.0,1.0,1.0,NA,0.126,1.0,1.0,0.22,1.0,1.0,1.0,0.426,NA,1.0,0.897,1.0	0.774,1.0,0.974,1.0,1.0,1.0,1.0,1.0,0.306,0.395,1.0,NA,0.254,1.0,NA,1.0,1.0,1.0,NA,NA	1	A3SS
879	ENSG00000029363.15_2	BCLAF1	chr6	-	1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.719,1.0,NA,1.0,1.0,NA,1.0,1.0,NA,1.0,NA	1	A3SS
927	ENSG00000160014.16_1	CALM3	chr19	+	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.946,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA	1	A3SS
1003	ENSG00000131051.21_2	RBM39	chr20	-	1.0,1.0,0.954,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,NA	1	A3SS
1004	ENSG00000131051.21_2	RBM39	chr20	-	0.0,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0	1	A3SS
1076	ENSG00000100731.15_2	PCNX1	chr14	+	1.0,1.0,NA,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,0.407,1.0,1.0,0.77,1.0	0.832,0.81,1.0,0.918,1.0,0.0,0.0,1.0,1.0,1.0,1.0,NA,1.0,0.795,NA,0.507,1.0,NA,1.0,NA	1	A3SS
1189	ENSG00000143774.16_2	GUK1	chr1	+	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.124,0.0	0.066,0.0,0.369,0.379,0.0,0.0,0.0,0.923,0.0,0.0,0.0,NA,0.052,0.0,NA,0.0,0.0,0.0,0.0,NA	1	A3SS
1191	ENSG00000143774.16_2	GUK1	chr1	+	1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,0.948,1.0	1.0,1.0,1.0,0.991,1.0,1.0,1.0,1.0,1.0,1.0,0.985,NA,1.0,1.0,NA,1.0,1.0,NA,NA,1.0	1	A3SS
1268	ENSG00000115677.16_2	HDLBP	chr2	-	1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,0.851	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,NA,1.0,NA	1	A3SS
1314	ENSG00000105220.14_2	GPI	chr19	+	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.954,1.0	1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,0.996,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0	1	A3SS
1471	ENSG00000179915.22_2	NRXN1	chr2	-	1.0,1.0,1.0,1.0,0.868,0.445,NA,0.082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,NA,0.95,0.98,1.0	1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.752,NA,1.0,1.0,NA,1.0,1.0,1.0,NA,NA	1	A3SS
1512	ENSG00000161082.12_1	CELF5	chr19	+	1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	0.581,1.0,1.0,0.018,1.0,1.0,1.0,0.195,1.0,1.0,0.624,NA,1.0,0.67,NA,0.546,1.0,1.0,1.0,NA	1	A3SS
1540	ENSG00000187109.13_2	NAP1L1	chr12	-	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,NA,0.547,1.0,1.0,0.69,NA,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.968,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA	1	A3SS
1668	ENSG00000144567.10_2	FAM134A	chr2	+	0.6,1.0,1.0,0.731,1.0,1.0,1.0,1.0,0.404,1.0,1.0,1.0,0.504,0.895,1.0,1.0,0.616,1.0,1.0,1.0,1.0,NA,1.0,1.0	1.0,0.906,1.0,1.0,0.311,NA,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA	1	A3SS
1684	ENSG00000105698.15_1	USF2	chr19	+	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,1.0,NA,0.0,0.948,1.0	1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0	1	A3SS
1688	ENSG00000118181.10_1	RPS25	chr11	-	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.633,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA	1	A3SS
1727	ENSG00000155506.16_2	LARP1	chr5	+	1.0,1.0,1.0,1.0,0.832,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,NA,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA	1	A3SS
1917	ENSG00000133226.16_2	SRRM1	chr1	+	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.886,1.0,1.0,NA,1.0,1.0,0.834,0.118,1.0,1.0,1.0,0.0,1.0,0.991,1.0,1.0	1.0,1.0,0.739,1.0,0.77,1.0,1.0,0.734,0.187,0.72,1.0,NA,1.0,1.0,NA,1.0,1.0,NA,0.0,NA	1	A3SS
1931	ENSG00000116604.17_2	MEF2D	chr1	-	1.0,1.0,1.0,0.773,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,0.798,0.0,0.736,1.0,0.772,1.0,1.0,NA,1.0,1.0	0.979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.937,NA,0.877,1.0,NA,NA,NA	1	A3SS
2018	ENSG00000082397.17_2	EPB41L3	chr18	-	1.0,1.0,1.0,0.809,0.729,NA,NA,1.0,0.932,0.314,0.307,1.0,1.0,0.988,0.881,1.0,NA,1.0,0.799,1.0,1.0,1.0,1.0,NA	1.0,0.947,0.619,0.986,NA,1.0,1.0,1.0,0.379,0.926,0.929,0.0,0.297,0.771,1.0,0.666,1.0,0.982,NA,NA	1	A3SS
2117	ENSG00000166501.12_2	PRKCB	chr16	+	0.766,1.0,1.0,0.941,0.996,1.0,1.0,0.865,0.982,0.955,1.0,1.0,0.765,0.935,1.0,0.68,1.0,1.0,1.0,0.971,1.0,1.0,1.0,1.0	0.927,1.0,1.0,0.597,1.0,1.0,1.0,1.0,1.0,0.762,0.91,1.0,0.674,1.0,1.0,1.0,1.0,1.0,1.0,NA	1	A3SS
2121	ENSG00000104960.15_1	PTOV1	chr19	+	1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.483,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,NA,NA,NA	1	A3SS
2346	ENSG00000115268.9_2	RPS15	chr19	+	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.0,0.0,NA,NA,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0	0.568,0.0,0.0,0.075,0.0,0.0,NA,1.0,0.0,0.086,0.0,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,NA	1	A3SS
2348	ENSG00000115268.9_2	RPS15	chr19	+	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412,0.0,0.0,NA,NA,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0	0.576,0.0,0.0,0.077,0.0,0.0,NA,1.0,0.0,0.089,0.0,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,NA	1	A3SS
2430	ENSG00000100316.15_1	RPL3	chr22	-	0.472,0.0,0.0,0.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.708,0.241,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.017,0.0	0.002,0.007,0.0,0.0,NA,0.0,0.0,0.0,0.021,0.0,0.056,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA	1	A3SS
2452	ENSG00000134769.21_2	DTNA	chr18	+	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.541,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,NA,1.0	1	A3SS
2501	ENSG00000096384.19_1	HSP90AB1	chr6	+	0.033,0.0,0.0,0.121,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0	0.026,0.0,0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.026,0.048,NA,0.0,0.0,NA,0.0,0.0,0.0,0.02,1.0	1	A3SS
2693	ENSG00000106484.14_1	MEST	chr7	+	0.0,0.0,0.0,0.168,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,0.0,0.305,NA	1	A3SS
2716	ENSG00000100505.13_1	TRIM9	chr14	-	1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,NA,1.0,1.0,1.0,1.0	0.979,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0	1	A3SS
2730	ENSG00000068366.19_2	ACSL4	chrX	-	1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,NA,0.06,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA	1	A3SS
2731	ENSG00000068366.19_2	ACSL4	chrX	-	1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,NA,0.409,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA	1	A3SS
2732	ENSG00000068366.19_2	ACSL4	chrX	-	1.0,1.0,1.0,0.947,1.0,1.0,NA,1.0,1.0,0.348,1.0,1.0,1.0,0.944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,0.931,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA	1	A3SS
2733	ENSG00000068366.19_2	ACSL4	chrX	-	1.0,1.0,1.0,0.948,1.0,1.0,NA,1.0,1.0,0.348,1.0,1.0,1.0,0.946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,0.945,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA	1	A3SS
2782	ENSG00000112531.16_1	QKI	chr6	+	1.0,0.85,1.0,1.0,1.0,0.935,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,NA,1.0,1.0,1.0,1.0,0.875,1.0	0.938,1.0,0.897,0.813,0.479,1.0,1.0,1.0,1.0,0.957,0.941,NA,1.0,0.083,1.0,0.161,1.0,1.0,1.0,1.0	1	A3SS
2822	ENSG00000103034.14_2	NDRG4	chr16	+	0.0,0.117,0.0,0.064,0.0,0.0,0.857,0.004,0.0,0.0,1.0,NA,0.0,0.003,0.017,NA,0.371,0.617,0.026,0.0,0.0,0.0,0.192,0.0	0.057,0.217,0.398,0.013,0.037,0.0,0.0,0.0,0.075,0.046,0.0,0.0,0.046,0.081,NA,0.044,0.0,NA,0.142,NA	1	A3SS
2825	ENSG00000103034.14_2	NDRG4	chr16	+	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,NA	1	A3SS
2865	ENSG00000182220.14_2	ATP6AP2	chrX	+	0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.002,0.0,0.0,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.005,NA,0.0,NA	1	A3SS
2867	ENSG00000182220.14_2	ATP6AP2	chrX	+	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,NA,1.0,NA	1	A3SS
3097	ENSG00000135976.16_1	ANKRD36	chr2	+	0.871,0.0,0.132,0.021,0.627,1.0,NA,0.977,0.75,0.0,0.0,0.763,0.756,0.0,0.418,1.0,NA,1.0,0.156,NA,NA,0.993,0.18,0.721	0.893,0.943,0.465,0.0,0.831,0.294,0.257,0.0,0.234,0.975,0.701,NA,0.427,1.0,NA,1.0,0.881,NA,0.908,NA	1	A3SS
3159	ENSG00000124140.13_2	SLC12A5	chr20	+	0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.222,NA,NA,0.0,0.168,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA	1	A3SS
3255	ENSG00000007168.12_2	PAFAH1B1	chr17	+	1.0,1.0,1.0,1.0,0.993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,0.994,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA	1	A3SS
3331	ENSG00000058272.16_2	PPP1R12A	chr12	-	0.0,NA,0.0,0.0,0.0,0.0,NA,0.0,0.227,0.0,0.0,NA,0.0,0.171,0.0,0.0,0.0,NA,0.0,0.0,1.0,0.0,0.0,0.0	0.548,0.724,0.0,0.467,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NA,0.0,NA,0.0,NA	1	A3SS
3332	ENSG00000058272.16_2	PPP1R12A	chr12	-	1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,0.882,1.0,NA,1.0,1.0,NA,1.0,NA	1	A3SS
3472	ENSG00000168216.10_2	LMBRD1	chr6	-	1.0,1.0,1.0,0.844,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,0.047,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA	1	A3SS
3617	ENSG00000105223.19_2	PLD3	chr19	+	0.0,0.0,0.0,0.027,0.0,0.061,0.0,0.346,0.0,0.0,0.032,NA,0.0,0.09,0.296,0.0,0.0,0.0,0.395,0.0,NA,NA,0.214,0.279	0.042,0.0,0.0,0.0,1.0,0.0,0.0,NA,0.0,0.088,0.175,0.0,0.006,0.085,NA,0.096,0.0,NA,0.0,NA	1	A3SS
3664	ENSG00000165795.22_2	NDRG2	chr14	-	1.0,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0	1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1	A3SS
3685	ENSG00000033627.15_2	ATP6V0A1	chr17	+	0.0,0.307,0.289,0.072,0.0,0.521,0.0,0.328,0.0,0.0,1.0,0.042,0.0,0.0,0.257,0.704,0.146,0.0,0.265,0.05,0.086,0.0,0.144,0.0	0.007,0.0,0.0,0.122,0.0,0.0,0.0,1.0,0.146,0.082,0.03,NA,0.0,0.0,0.0,0.0,0.12,0.0,0.0,NA	1	A3SS
3691	ENSG00000169727.12_1	GPS1	chr17	+	1.0,1.0,NA,0.983,0.984,0.0,1.0,1.0,0.841,1.0,1.0,1.0,1.0,0.621,0.602,1.0,0.427,1.0,0.769,1.0,1.0,1.0,0.683,1.0	0.589,1.0,0.09,0.933,0.06,NA,NA,1.0,0.981,0.973,0.947,1.0,0.0,1.0,NA,1.0,1.0,1.0,1.0,NA	1	A3SS
3698	ENSG00000048991.16_1	R3HDM1	chr2	+	NA,0.559,1.0,0.831,1.0,0.52,0.0,0.879,NA,0.323,0.907,0.0,NA,0.908,1.0,0.697,0.178,0.033,1.0,0.996,0.155,0.973,0.891,0.0	0.493,0.452,0.634,0.965,0.723,0.0,0.0,0.33,0.631,0.75,1.0,NA,0.807,0.485,0.0,0.44,0.187,NA,NA,NA	1	A3SS
3700	ENSG00000171617.13_2	ENC1	chr5	-	1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1	A3SS
3922	ENSG00000105290.11_1	APLP1	chr19	+	0.327,0.0,0.0,0.116,0.119,0.32,0.165,0.25,0.653,0.281,0.1,0.0,0.217,0.119,0.09,0.0,0.635,0.132,0.11,0.0,0.677,0.0,0.294,0.0	0.312,0.045,0.0,0.089,0.135,NA,NA,0.0,0.283,0.164,0.094,NA,0.486,0.029,NA,0.152,0.333,0.462,0.0,0.0	1	A3SS
4012	ENSG00000162729.13_1	IGSF8	chr1	-	0.0,0.094,0.0,0.007,0.008,NA,0.0,0.0,0.0,0.0,0.704,0.989,0.0,0.079,0.252,0.0,NA,0.212,0.195,0.0,0.0,NA,0.118,0.0	0.0,0.047,0.573,0.0,0.104,1.0,1.0,0.0,0.561,0.0,0.0,0.0,NA,1.0,0.0,0.561,0.0,NA,NA,NA	1	A3SS
