ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
22	"ENSG00000109184.14_1"	"DCUN1D4"	chr4	+	52729835	52729875	52740436	52740551	52729602	52729673	52743928	52744020	22	62,0,0,0,0,0,0,33,0,0,8,0,32,21,0,0,0,0,0,2,0,0,1,0	29,0,66,71,2,0,0,1,8,0,17,13,14,150,67,1,0,94,43,0,93,17,11,16	0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	77,1,52,24,5,0,0,2,17,113,27,0,16,51,0,34,4,0,32,0	190	265	1	1.0	0.749,NA,0.0,0.0,0.0,NA,NA,0.979,0.0,NA,0.396,0.0,0.761,0.163,0.0,0.0,NA,0.0,0.0,1.0,0.0,0.0,0.113,0.0	0.0,0.0,0.0,0.0,0.661,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,NA,0.0,0.0,NA,0.0,NA	0.172
23	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110385060	110385309	110389016	110389121	110376969	110377052	110390896	110391039	23	0,0,0,8,6,0,0,0,52,1,0,0,0,22,37,19,0,225,9,78,58,90,13,26	16,12,0,34,0,51,0,3,30,2,7,0,4,15,68,46,0,42,28,0,0,60,21,16	0,0,0,1,23,67,31,1,3,0,13,0,19,0,0,0,45,0,18,0	10,20,63,41,1,76,9,0,0,14,64,0,0,65,0,30,89,0,5,0	255	399	1	1.0	0.0,0.0,NA,0.269,1.0,0.0,NA,0.0,0.731,0.439,0.0,NA,0.0,0.697,0.46,0.393,NA,0.893,0.335,1.0,1.0,0.701,0.492,0.718	0.0,0.0,0.0,0.037,0.973,0.58,0.843,1.0,1.0,0.0,0.241,NA,1.0,0.0,NA,0.0,0.442,NA,0.849,NA	0.021
24	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110403330	110403379	110405118	110405124	110399417	110399490	110405262	110405308	24	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,28,1,18,0,0,0,74,22,0,0,0,48,101,0,0,0,41,0,45,0,4,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0	0,0,0,29,6,302,121,0,0,17,0,0,0,146,0,94,30,0,0,0	156	199	1	1.0	NA,NA,0.0,0.0,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,NA,0.0,NA,0.0,NA	NA,NA,NA,0.0,0.0,0.0,0.0,NA,NA,0.0,NA,NA,NA,0.0,NA,0.0,0.0,NA,1.0,NA	-0.111
25	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110403330	110403382	110405118	110405124	110399417	110399490	110405262	110405308	25	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,28,1,18,0,0,0,74,22,0,0,0,48,74,0,0,0,26,0,45,0,4,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0	21,0,0,29,6,302,121,0,0,38,0,0,0,146,0,94,30,0,0,0	156	202	1	1.0	NA,NA,0.0,0.0,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,NA,0.0,NA,0.0,NA	0.0,NA,NA,0.0,0.0,0.0,0.0,NA,NA,0.0,NA,NA,NA,0.0,NA,0.0,0.0,NA,1.0,NA	-0.1
28	"ENSG00000144935.14_1"	"TRPC1"	chr3	+	142455220	142455375	142462326	142462428	142442915	142443573	142467099	142467302	28	1,0,52,51,2,0,38,103,16,2,0,0,0,67,36,1,37,0,9,104,0,146,6,1	0,0,0,0,0,0,0,0,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,64,101,12,1,5,6,7,23,27,81,0,25,0,0,0,20,0,5,0	0,0,2,16,25,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0	305	252	1	1.0	1.0,NA,1.0,1.0,1.0,NA,1.0,1.0,0.313,0.051,NA,NA,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,1.0	1.0,1.0,0.977,0.383,0.032,1.0,1.0,1.0,0.731,1.0,1.0,NA,1.0,NA,NA,NA,1.0,NA,1.0,NA	0.038
29	"ENSG00000024048.10_1"	"UBR2"	chr6	+	42584977	42585076	42585146	42585245	42583739	42583828	42600289	42600453	29	0,0,0,0,2,0,0,1,0,0,40,99,0,0,3,0,0,0,2,0,0,0,0,0	5,33,0,63,8,0,0,6,8,1,31,11,2,37,23,98,0,0,6,0,117,0,3,10	26,32,0,0,0,0,0,0,2,0,1,0,0,27,0,24,0,0,0,0	18,106,14,59,71,0,0,76,18,7,28,0,10,25,0,33,85,0,0,0	249	249	1	1.0	0.0,0.0,NA,0.0,0.2,NA,NA,0.143,0.0,0.0,0.563,0.9,0.0,0.0,0.115,0.0,NA,NA,0.25,NA,0.0,NA,0.0,0.0	0.591,0.232,0.0,0.0,0.0,NA,NA,0.0,0.1,0.0,0.034,NA,0.0,0.519,NA,0.421,0.0,NA,NA,NA	-0.018
30	"ENSG00000024048.10_1"	"UBR2"	chr6	+	42604748	42604932	42607946	42608008	42603155	42603284	42609319	42609430	30	25,0,0,6,17,0,424,0,9,0,0,7,17,0,0,0,0,0,1,38,101,56,2,0	0,0,0,33,0,0,0,0,0,0,0,0,0,0,46,0,150,1,21,52,0,0,11,1	4,15,0,2,0,0,0,0,0,149,47,0,13,0,0,0,2,0,7,0	57,26,0,0,0,0,0,20,0,2,1,0,3,6,0,2,17,0,0,0	334	212	1	1.0	1.0,NA,NA,0.103,1.0,NA,1.0,NA,1.0,NA,NA,1.0,1.0,NA,0.0,NA,0.0,0.0,0.029,0.317,1.0,1.0,0.103,0.0	0.043,0.268,NA,1.0,NA,NA,NA,0.0,NA,0.979,0.968,NA,0.733,0.0,NA,0.0,0.069,NA,1.0,NA	0.074
32	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70245146	70245263	70259264	70259387	70223817	70224020	70278334	70278437	32	0,0,7,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,1,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,45,25,0,0,0,0,0,0,0,0,0,0,0	273	267	1	1.0	NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA	1.0,NA,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.667
36	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70286774	70286812	70278334	70278437	70312678	70312756	36	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0	188	347	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.167
37	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70310638	70310819	70278334	70278437	70312678	70312756	37	0,86,0,45,0,0,0,92,1,9,0,32,0,0,0,0,0,74,0,0,0,0,5,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0	331	347	1	1.0	NA,1.0,NA,1.0,NA,NA,NA,1.0,1.0,1.0,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,0.512,0.173	NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.854
38	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70310669	70310819	70278334	70278437	70312678	70312756	38	0,86,0,45,0,0,0,92,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0	300	347	1	1.0	NA,1.0,NA,1.0,NA,NA,NA,1.0,1.0,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,0.0,0.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.75
39	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70310638	70310819	70278334	70278437	70312678	70312756	39	0,86,0,45,0,0,0,92,1,9,0,32,0,0,0,0,0,74,0,0,0,0,5,1	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0	331	188	1	1.0	NA,0.961,NA,1.0,NA,NA,NA,1.0,1.0,1.0,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.996
40	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70310669	70310819	70278334	70278437	70312678	70312756	40	0,86,0,45,0,0,0,92,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0	300	188	1	1.0	NA,0.964,NA,1.0,NA,NA,NA,1.0,1.0,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.994
42	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70310638	70310819	70282845	70283042	70312678	70312756	42	0,86,0,45,0,0,0,92,1,9,0,32,0,0,0,0,0,74,0,0,0,0,5,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0	331	188	1	1.0	NA,1.0,NA,1.0,NA,NA,NA,1.0,1.0,1.0,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,0.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.889
44	"ENSG00000171466.9_2"	"ZNF562"	chr19	-	9768684	9768811	9770054	9770143	9767222	9767329	9771395	9771550	44	158,0,0,0,0,0,0,0,0,3,0,0,75,0,0,0,0,0,0,0,0,0,0,28	44,0,0,0,31,0,0,82,0,0,0,0,15,24,0,82,0,0,0,0,0,1,0,24	0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	48,0,0,0,0,0,1,50,0,0,26,0,0,91,0,51,0,0,0,0	239	277	1	1.0	0.806,NA,NA,NA,0.0,NA,NA,0.0,NA,1.0,NA,NA,0.853,0.0,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,0.575	0.0,NA,1.0,NA,NA,NA,0.0,0.0,NA,NA,0.0,NA,NA,0.0,NA,0.0,NA,NA,NA,NA	0.216
48	"ENSG00000135720.12_2"	"DYNC1LI2"	chr16	-	66776340	66776571	66783099	66783216	66769977	66770147	66785175	66785249	48	65,74,0,26,67,0,0,46,30,33,9,0,39,27,231,0,270,25,104,135,9,1,22,96	48,123,46,67,49,0,116,191,56,49,0,0,32,13,0,0,44,5,0,7,116,0,26,4	151,134,7,51,6,0,1,2,8,56,29,0,26,11,0,9,0,0,43,0	184,98,46,60,8,0,0,2,20,144,381,0,67,38,23,18,11,1,70,0	267	381	1	1.0	0.659,0.462,0.0,0.356,0.661,NA,0.0,0.256,0.433,0.49,1.0,NA,0.635,0.748,1.0,NA,0.898,0.877,1.0,0.965,0.1,1.0,0.547,0.972	0.539,0.661,0.178,0.548,0.517,NA,1.0,0.588,0.363,0.357,0.098,NA,0.356,0.292,0.0,0.416,0.0,0.0,0.467,NA	0.247
49	"ENSG00000166676.14_1"	"TVP23A"	chr16	-	10868808	10868953	10902393	10902463	10867895	10867985	10911959	10912039	49	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,16,0,47,34,70,0,0,0,8,0,0,0,3,40,0,0,0,18,0,0,0,4,23	0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,68,41,0,2,0,0,0,7,2,36,0,0,0,0,0,1,0,0,0	220	295	1	1.0	NA,0.0,NA,0.0,0.0,0.0,NA,NA,NA,0.0,NA,NA,NA,0.0,0.0,NA,NA,NA,0.0,NA,NA,NA,0.0,0.0	0.0,0.0,0.0,NA,0.573,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA	-0.072
50	"ENSG00000166676.14_1"	"TVP23A"	chr16	-	10868808	10868953	10911959	10912039	10867895	10867985	10912341	10912457	50	0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,15,0	0,16,0,47,34,70,0,0,0,8,0,0,0,3,40,0,0,0,18,0,0,0,3,23	34,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,68,41,0,2,0,0,0,0,2,36,0,0,25,0,23,1,0,0,0	230	295	1	1.0	NA,0.0,NA,0.317,0.0,0.0,NA,NA,NA,0.0,NA,NA,NA,0.0,0.0,NA,NA,1.0,0.0,NA,NA,NA,0.865,0.0	0.534,0.0,0.319,NA,0.0,NA,NA,NA,NA,0.0,0.0,NA,NA,0.0,NA,0.0,0.0,NA,NA,NA	0.104
51	"ENSG00000166676.14_1"	"TVP23A"	chr16	-	10868808	10869404	10902393	10902463	10867895	10867985	10911959	10912039	51	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	78,16,0,54,34,121,0,0,0,8,0,0,42,63,40,0,0,24,18,1,0,0,12,23	0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,86,78,40,10,173,41,6,0,22,36,0,0,0,0,0,3,0,23,0	220	746	1	1.0	0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,0.0,NA,NA,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,NA,NA,0.0,0.0	0.0,0.0,0.0,0.0,0.404,0.0,0.0,0.0,NA,0.0,0.0,NA,NA,NA,NA,NA,0.0,NA,0.0,NA	-0.034
52	"ENSG00000179152.19_1"	"TCAIM"	chr3	+	44396230	44396303	44399232	44399368	44379610	44379811	44402856	44403010	52	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0	0,10,0,3,0,26,0,75,21,5,0,0,0,0,0,0,0,0,0,0,72,53,8,28	0,0,6,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0	223	286	1	1.0	NA,0.0,NA,0.0,1.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,0.0	NA,NA,0.885,1.0,0.0,NA,NA,0.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.389
54	"ENSG00000133794.17_2"	"ARNTL"	chr11	+	13371491	13371617	13375847	13375995	13331533	13331606	13378285	13378324	54	63,0,0,0,0,0,0,0,1,0,8,0,40,0,0,0,0,0,0,4,28,0,12,0	0,0,0,17,2,0,0,26,30,4,0,0,0,0,0,151,82,0,0,0,0,0,8,28	63,0,0,0,0,0,0,0,0,36,39,0,15,0,0,0,145,0,0,0	4,0,0,19,0,0,0,1,15,43,23,0,14,0,0,0,42,0,0,0	276	298	1	1.0	1.0,NA,NA,0.0,0.0,NA,NA,0.0,0.035,0.0,1.0,NA,1.0,NA,NA,0.0,0.0,NA,NA,1.0,1.0,NA,0.618,0.0	0.944,NA,NA,0.0,NA,NA,NA,0.0,0.0,0.475,0.647,NA,0.536,NA,NA,NA,0.788,NA,NA,NA	-0.02
55	"ENSG00000133794.17_2"	"ARNTL"	chr11	+	13375847	13375995	13378285	13378324	13371491	13371617	13378601	13378643	55	60,0,0,29,0,0,0,0,0,2,20,0,40,5,56,0,0,0,12,0,0,0,8,0	0,0,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	123,97,3,56,4,152,52,0,0,56,0,0,2,0,0,0,33,0,0,0	0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0	298	189	1	1.0	1.0,NA,0.0,0.605,NA,NA,NA,NA,NA,1.0,1.0,NA,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,1.0,NA	1.0,1.0,1.0,1.0,0.241,1.0,1.0,NA,NA,1.0,NA,NA,0.388,NA,NA,NA,1.0,NA,NA,NA	-0.002
56	"ENSG00000130294.14_1"	"KIF1A"	chr2	-	241667805	241667829	241674135	241674162	241666242	241666357	241676479	241676585	56	0,18,108,92,35,132,0,14,10,20,66,0,0,205,123,0,0,1,62,116,0,0,1,31	0,92,67,33,5,1,0,91,49,15,3,0,0,87,7,1,22,45,4,0,0,0,6,0	160,0,25,0,0,4,4,0,23,119,86,0,36,1,4,0,19,29,0,0	6,89,57,77,0,0,0,0,0,237,26,0,39,29,9,19,0,0,0,0	177	174	1	1.0	NA,0.161,0.613,0.733,0.873,0.992,NA,0.131,0.167,0.567,0.956,NA,NA,0.698,0.945,0.0,0.0,0.021,0.938,1.0,NA,NA,0.141,1.0	0.963,0.0,0.301,0.0,NA,1.0,1.0,NA,1.0,0.33,0.765,NA,0.476,0.033,0.304,0.0,1.0,1.0,NA,NA	0.007
