ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
17	"ENSG00000180776.15_2"	"ZDHHC20"	chr13	-	21955572	21955688	21955572	21955685	21957058	21957148	17	0,0,0,0,30,0,0,0,30,0,0,0,0,0,64,0,0,0,45,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0	0,0,0,39,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	153	150	1	1.0	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,0.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.467
20	"ENSG00000266964.5_2"	"FXYD1"	chr19	+	35632346	35632476	35632439	35632476	35632035	35632110	20	0,0,36,0,0,0,0,0,0,18,0,0,0,38,2,0,0,0,1,0,0,0,0,0	0,0,0,6,0,0,0,0,0,0,58,0,0,78,0,0,0,0,0,0,0,0,0,14	39,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,34,0,0,19,0,0,0,0,0,0,0,0,27,0,16,0,0,0,256	243	150	1	1.0	NA,NA,1.0,0.0,NA,NA,NA,NA,NA,1.0,0.0,NA,NA,0.231,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,0.0	0.8,0.0,NA,NA,0.061,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0	0.385
22	"ENSG00000174177.12_1"	"CTU2"	chr16	+	88778468	88778791	88778681	88778791	88778042	88778103	22	0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0	43,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,10,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0	363	150	1	1.0	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA,0.0,NA,1.0,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,NA	0.4
23	"ENSG00000087460.23_2"	"GNAS"	chr20	+	57478582	57478640	57478585	57478640	57470666	57470739	23	8,0,0,0,28,0,0,29,0,4,0,0,7,1,21,0,0,0,7,0,0,0,4,0	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0	9,3,2,12,36,0,0,0,0,31,65,0,21,134,0,91,19,0,0,0	0,24,0,0,14,0,0,0,0,0,0,0,33,0,0,0,0,8,6,0	153	150	1	1.0	1.0,NA,NA,NA,1.0,NA,NA,1.0,NA,0.662,NA,NA,1.0,1.0,1.0,NA,NA,NA,0.873,NA,NA,NA,1.0,NA	1.0,0.109,1.0,1.0,0.716,NA,NA,NA,NA,1.0,1.0,NA,0.384,1.0,NA,1.0,1.0,0.0,0.0,NA	0.24
24	"ENSG00000087460.23_2"	"GNAS"	chr20	+	57478582	57478640	57478585	57478640	57473995	57474040	24	131,146,0,28,72,2,0,117,113,2,0,0,77,246,129,5,253,0,65,29,0,0,22,0	357,661,134,162,53,172,0,502,466,41,57,192,211,245,455,2,361,296,196,1022,171,78,140,249	119,64,0,142,0,0,0,0,23,46,72,0,31,0,0,0,79,0,22,0	407,247,603,661,39,41,29,92,375,866,732,0,41,440,4,275,132,18,53,0	153	150	1	1.0	0.265,0.178,0.0,0.145,0.571,0.011,NA,0.186,0.192,0.046,0.0,0.0,0.264,0.496,0.218,0.71,0.407,0.0,0.245,0.027,0.0,0.0,0.133,0.0	0.223,0.203,0.0,0.174,0.0,0.0,0.0,0.0,0.057,0.049,0.088,NA,0.426,0.0,0.0,0.0,0.37,0.0,0.289,NA	0.074
25	"ENSG00000166343.9_1"	"MSS51"	chr10	-	75185568	75186135	75185568	75185704	75186364	75186489	25	208,0,0,11,0,25,0,9,0,0,7,0,49,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0	0,86,4,10,0,194,51,0,0,46,0,0,0,0,0,0,8,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	581	150	1	1.0	1.0,NA,NA,1.0,NA,1.0,NA,1.0,NA,NA,1.0,NA,1.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	NA,1.0,1.0,1.0,NA,1.0,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	-0.143
26	"ENSG00000161533.11_2"	"ACOX1"	chr17	-	73945297	73945441	73945297	73945440	73945575	73945681	26	75,27,3,7,15,0,63,1,29,3,0,0,41,0,6,0,0,0,1,0,24,0,6,14	0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	3,68,0,4,0,0,0,0,0,48,0,0,0,3,0,2,4,0,3,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	151	150	1	1.0	1.0,0.931,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA,NA,1.0,NA,1.0,NA,NA,NA,1.0,NA,1.0,NA,1.0,1.0	1.0,1.0,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,1.0,1.0,NA,1.0,NA	-0.005
30	"ENSG00000140395.8_2"	"WDR61"	chr15	-	78577602	78578066	78577602	78577681	78578382	78578475	30	1,0,19,2,22,0,0,0,0,0,19,0,0,10,84,0,0,0,36,35,51,0,6,7	0,0,44,0,0,0,0,0,2,2,0,0,0,79,177,0,0,0,81,24,0,0,7,0	14,0,0,0,3,91,14,10,0,25,1,0,0,2,0,4,0,0,37,0	0,0,177,0,0,0,0,0,9,114,0,0,10,5,0,5,19,0,0,0	535	150	1	1.0	1.0,NA,0.108,1.0,1.0,NA,NA,NA,0.0,0.0,1.0,NA,NA,0.034,0.117,NA,NA,NA,0.111,0.29,1.0,NA,0.194,1.0	1.0,NA,0.0,NA,1.0,1.0,1.0,1.0,0.0,0.058,1.0,NA,0.0,0.101,NA,0.183,0.0,NA,1.0,NA	-0.035
31	"ENSG00000140395.8_2"	"WDR61"	chr15	-	78584957	78585227	78584957	78585130	78585508	78585614	31	0,57,0,0,25,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15,0,2,0,0,0,5,99,0,1,0,0,21,34,70,0,0,0,37,0,0,0,0,21	0,0,0,0,0,0,0,0,0,24,13,0,0,0,0,0,0,0,0,0	0,0,0,56,4,0,0,3,10,66,0,0,0,0,0,0,0,0,0,0	247	150	1	1.0	0.0,1.0,0.0,NA,1.0,NA,0.0,0.279,NA,0.0,NA,NA,0.0,0.0,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,0.0	NA,NA,NA,0.0,0.0,NA,NA,0.0,0.0,0.181,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.007
34	"ENSG00000126768.12_1"	"TIMM17B"	chrX	-	48752634	48753255	48752634	48752784	48754041	48754141	34	0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,260,40,0,0,0,8,15	0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0	3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	621	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,NA,NA,1.0,1.0,NA,NA,NA,1.0,1.0	1.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	-0.167
35	"ENSG00000174485.15_2"	"DENND4A"	chr15	-	65992881	65993013	65992881	65993010	65993388	65993530	35	0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0	0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,8,0	153	150	1	1.0	NA,NA,1.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.151,NA	NA,0.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	0.23
37	"ENSG00000172613.7_2"	"RAD9A"	chr11	+	67160966	67161081	67161008	67161081	67160124	67160253	37	0,4,0,23,0,0,0,37,0,0,0,0,0,40,0,0,0,88,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0	192	150	1	1.0	NA,1.0,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA	1.0
39	"ENSG00000099814.15_1"	"CEP170B"	chr14	+	105349368	105349845	105349371	105349845	105349064	105349169	39	0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,5,0,2,0,0,0,0,0,0,0,3,20,6,0,0,73,2,0,0,0,1,15	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8,0,71,0,10,0,0,0,13,36,52,0,0,0,0,0,0,0,0,0	153	150	1	1.0	NA,NA,0.0,1.0,0.0,NA,NA,NA,NA,NA,1.0,NA,0.0,0.0,0.0,NA,NA,0.0,0.0,NA,NA,NA,0.0,0.0	0.0,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.182
40	"ENSG00000099814.15_1"	"CEP170B"	chr14	+	105355851	105356095	105355956	105356095	105352611	105354315	40	91,93,1,41,0,11,0,128,0,0,21,0,57,317,202,0,0,152,100,0,0,6,39,100	0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,8,103,0,0,0	39,54,0,75,67,0,0,12,7,61,134,242,0,2,0,4,199,0,1,0	19,87,0,0,0,0,0,0,15,86,0,0,22,0,0,0,0,0,0,0	255	150	1	1.0	1.0,1.0,1.0,1.0,NA,1.0,NA,1.0,NA,NA,1.0,NA,1.0,0.842,1.0,NA,NA,1.0,1.0,0.0,0.0,1.0,1.0,1.0	0.547,0.267,NA,1.0,1.0,NA,NA,1.0,0.215,0.294,1.0,1.0,0.0,1.0,NA,1.0,1.0,NA,1.0,NA	0.136
49	"ENSG00000160209.18_1"	"PDXK"	chr21	+	45163549	45163688	45163604	45163688	45161547	45161652	49	0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8	0,20,44,45,15,0,0,67,28,19,18,0,0,4,1,0,50,10,0,0,0,0,8,55	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	7,2,86,189,24,0,0,0,19,52,57,0,0,0,0,0,0,0,0,0	205	150	1	1.0	NA,0.0,0.0,0.0,0.0,NA,NA,0.0,0.095,0.0,0.0,NA,NA,0.0,0.0,NA,0.0,0.0,NA,NA,NA,NA,0.0,0.096	0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,0.0,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.012
50	"ENSG00000160209.18_1"	"PDXK"	chr21	+	45175357	45175645	45175578	45175645	45173463	45173600	50	0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,64,4,0,119,0,72,2,8,50,0,0,160,12,0,0,0,7,0,3,0,14,46	0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0	62,2,114,3,0,0,0,7,0,29,177,0,0,0,0,0,2,0,0,0	371	150	1	1.0	NA,NA,0.0,0.0,1.0,0.0,NA,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,NA,NA,NA,0.0,NA,0.0,NA,0.0,0.0	0.0,0.168,0.0,0.0,NA,NA,NA,0.0,1.0,0.0,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA	-0.058
51	"ENSG00000211456.10_1"	"SACM1L"	chr3	+	45754628	45754688	45754632	45754688	45750989	45751139	51	58,0,7,13,24,0,0,0,0,0,28,0,25,1,205,0,0,0,114,108,19,0,2,34	0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	115,6,180,35,0,129,53,0,5,65,0,0,0,1,0,3,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	154	150	1	1.0	1.0,NA,1.0,0.535,1.0,NA,NA,NA,0.0,NA,1.0,NA,1.0,1.0,1.0,NA,NA,NA,1.0,1.0,1.0,NA,1.0,1.0	1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,1.0,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,NA	-0.105
60	"ENSG00000090263.15_2"	"MRPS33"	chr7	-	140710218	140710460	140710218	140710417	140714350	140714479	60	0,51,8,67,0,0,0,4,23,0,0,15,0,54,0,0,0,0,0,0,0,0,6,0	0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,43,32,56,0,0,0,0,0,12,13,0,0,11,0,8,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	193	150	1	1.0	NA,1.0,0.675,1.0,NA,NA,NA,1.0,1.0,NA,NA,1.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	NA,1.0,1.0,1.0,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,1.0,NA,1.0,NA,NA,NA,NA	-0.041
61	"ENSG00000065457.10_2"	"ADAT1"	chr16	-	75652483	75652596	75652483	75652538	75654163	75654232	61	0,0,0,10,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,13,0,0,57,0,0,0,0,0,0,0,0,0,72	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,3,0,0,1,0,0,0,3,46,0,3,0,0,0,0,0,0,0	208	150	1	1.0	NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,0.666,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0	NA,NA,0.0,NA,NA,0.0,NA,NA,NA,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA	0.416
62	"ENSG00000130475.14_1"	"FCHO1"	chr19	+	17881233	17881386	17881272	17881386	17877477	17877619	62	0,0,0,10,2,0,0,4,0,3,20,0,0,27,37,0,0,0,15,22,72,0,18,72	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	28,9,10,19,0,0,0,12,44,51,15,0,3,18,0,15,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	189	150	1	1.0	NA,NA,NA,1.0,1.0,NA,NA,1.0,NA,1.0,1.0,NA,NA,1.0,1.0,NA,NA,NA,1.0,1.0,1.0,NA,1.0,1.0	1.0,0.877,1.0,1.0,NA,NA,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,1.0,NA,NA,NA,NA	0.011
63	"ENSG00000130475.14_1"	"FCHO1"	chr19	+	17899078	17899366	17899092	17899366	17898490	17898655	63	0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,10,0,0,0,0,9,0,0,0,53,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0	164	150	1	1.0	NA,NA,NA,0.0,0.0,NA,NA,NA,NA,0.0,NA,1.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA	0.2
66	"ENSG00000065029.14_2"	"ZNF76"	chr6	+	35258029	35258159	35258042	35258159	35255422	35255622	66	0,0,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0	0,104,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	87,45,0,0,0,0,0,0,0,54,0,0,8,0,0,0,0,0,0,0	163	150	1	1.0	NA,0.0,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	0.0,0.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	0.6
67	"ENSG00000065029.14_2"	"ZNF76"	chr6	+	35260316	35260564	35260330	35260564	35259334	35259514	67	0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,31,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0	164	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	1.0
69	"ENSG00000130332.14_2"	"LSM7"	chr19	-	2324123	2324195	2324123	2324191	2328385	2328476	69	0,23,3,0,18,0,0,16,5,0,0,0,0,19,5,0,0,0,0,36,0,0,13,18	0,0,18,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,73	11,0,1,79,10,0,0,82,19,0,0,0,3,13,0,9,5,1,26,0	0,15,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0	154	150	1	1.0	NA,1.0,0.14,NA,0.946,NA,NA,1.0,1.0,0.0,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,1.0,NA,NA,0.927,0.194	1.0,0.0,1.0,1.0,1.0,NA,NA,1.0,1.0,NA,0.0,NA,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA	-0.111
