ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
20	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57869853	57870237	57869853	57869949	57870146	57870237	20	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0	347	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA	0.333
22	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57870938	57871463	57870938	57871052	57871241	57871463	22	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0	0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	339	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	-0.5
23	"ENSG00000004660.14_1"	"CAMKK1"	chr17	-	3784920	3785858	3784920	3784942	3785821	3785858	23	0,42,46,0,129,134,175,122,17,15,58,0,0,82,0,0,0,2,0,0,0,0,25,0	240,41,0,39,45,68,31,287,41,29,42,13,147,217,0,44,0,0,0,0,119,0,12,16	0,126,1,36,26,0,0,1,7,99,214,2,5,12,0,3,0,0,0,0	154,36,93,63,2,0,0,41,49,85,563,1686,72,46,0,12,28,0,0,0	1029	150	1	1.0	0.0,0.13,1.0,0.0,0.295,0.223,0.451,0.058,0.057,0.07,0.168,0.0,0.0,0.052,NA,0.0,NA,1.0,NA,NA,0.0,NA,0.233,0.0	0.0,0.338,0.002,0.077,0.655,NA,NA,0.004,0.02,0.145,0.053,0.0,0.01,0.037,NA,0.035,0.0,NA,NA,NA	0.098
24	"ENSG00000126768.12_1"	"TIMM17B"	chrX	-	48751182	48751508	48751182	48751293	48751379	48751508	24	0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,21,0	0,179,0,2,0,0,0,0,0,0,0,0,0,118,2,0,0,0,2,0,0,0,8,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,0,0,43,0,0,0,0,0,0,42,0,11,0,0,0,0,0,0,0	236	150	1	1.0	NA,0.0,NA,0.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,0.0,0.0,NA,NA,1.0,0.0,NA,NA,NA,0.625,NA	0.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA	0.328
25	"ENSG00000132950.18_2"	"ZMYM5"	chr13	-	20425494	20426330	20425494	20425588	20425828	20426330	25	94,0,0,0,38,0,0,0,22,0,70,128,22,0,24,0,0,0,8,120,0,5,6,0	140,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0	0,64,0,0,2,0,0,34,0,60,62,0,6,55,0,21,0,3,2,0	0,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0	390	150	1	1.0	0.205,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,1.0,1.0,0.133,NA,1.0,NA,NA,NA,1.0,1.0,NA,1.0,1.0,NA	NA,0.804,NA,NA,1.0,NA,NA,1.0,NA,0.658,1.0,NA,1.0,1.0,NA,1.0,NA,1.0,1.0,NA	-0.097
26	"ENSG00000172613.7_2"	"RAD9A"	chr11	+	67163382	67163646	67163382	67163492	67163581	67163646	26	0,0,0,0,0,131,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,3,0,0,134,35,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0	0,0,0,0,1,0,0,0,0,0,0,0,0,85,0,21,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0	239	150	1	1.0	NA,NA,NA,NA,0.0,1.0,NA,0.005,0.018,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	NA,NA,NA,NA,1.0,NA,NA,NA,0.0,NA,NA,NA,NA,1.0,NA,1.0,0.0,NA,NA,NA	-0.429
30	"ENSG00000081760.16_2"	"AACS"	chr12	+	125609250	125609570	125609250	125609315	125609447	125609570	30	0,0,0,31,4,207,0,15,0,18,54,0,0,0,18,0,0,15,12,0,0,0,20,36	0,4,0,0,4,17,0,0,97,3,0,0,0,32,49,0,0,0,34,0,120,0,13,0	0,4,1,0,35,0,1,0,0,9,0,0,0,103,0,25,49,0,1,0	39,0,0,2,5,0,0,0,97,4,8,0,4,3,0,0,0,0,0,0	282	150	1	1.0	NA,0.0,NA,1.0,0.347,0.866,NA,1.0,0.0,0.761,1.0,NA,NA,0.0,0.163,NA,NA,1.0,0.158,NA,0.0,NA,0.45,1.0	0.0,1.0,1.0,0.0,0.788,NA,1.0,NA,0.0,0.545,0.0,NA,0.0,0.948,NA,1.0,1.0,NA,1.0,NA	-0.075
31	"ENSG00000096080.11_2"	"MRPS18A"	chr6	-	43642938	43643354	43642938	43643008	43643230	43643354	31	0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,31,0,39,23,61,0,131,43,10,0,0,0,6,0,0,0,12,0,158,0,0,2,0	9,0,0,0,0,0,0,0,16,49,73,0,0,0,0,0,0,0,0,0	71,5,1,1,8,0,0,9,67,31,88,0,106,18,1,7,0,0,0,0	372	150	1	1.0	NA,0.0,NA,0.354,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,0.0,NA,NA,NA,0.0,NA,0.0,NA,NA,0.0,NA	0.049,0.0,0.0,0.0,0.0,NA,NA,0.0,0.088,0.389,0.251,NA,0.0,0.0,0.0,0.0,NA,NA,NA,NA	-0.028
33	"ENSG00000111877.17_2"	"MCM9"	chr6	-	119231761	119234585	119231761	119232934	119234459	119234585	33	0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,55,0,0,1,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,2,26,0,0,17,0,4,0,0,44,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0	1675	150	1	1.0	NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,1.0,1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,1.0,NA,1.0,NA,NA,0.146,NA	0.171
34	"ENSG00000111877.17_2"	"MCM9"	chr6	-	119238725	119243251	119238725	119238926	119243169	119243251	34	0,0,0,0,20,0,0,51,0,0,0,148,0,0,1,0,0,0,0,0,0,0,6,23	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,77,0,0,0,0,0,0,0,0,24,0,4,199,0,84,9,0,12,0	0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0	4393	150	1	1.0	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,0.629,NA,0.365,1.0,NA,1.0,NA	0.144
36	"ENSG00000133048.12_1"	"CHI3L1"	chr1	-	203148058	203149005	203148058	203148713	203148888	203149005	36	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,18,0,40,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,15,0	0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	18,0,0,0,15,0,0,0,0,1,38,0,26,0,0,0,0,478,0,0	325	150	1	1.0	NA,NA,NA,0.0,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	0.0,NA,1.0,NA,0.0,NA,NA,NA,NA,0.0,0.0,NA,0.0,NA,NA,NA,NA,0.0,NA,NA	-0.143
37	"ENSG00000108852.14_1"	"MPP2"	chr17	-	41960270	41960723	41960270	41960420	41960570	41960723	37	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0	55,28,0,42,17,16,0,103,25,4,70,91,24,3,129,0,1,16,66,0,73,0,10,23	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	17,9,101,0,3,0,0,43,115,36,60,0,0,0,0,0,29,0,0,0	300	150	1	1.0	0.0,0.0,NA,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,0.0,NA,0.286,0.0	0.0,0.0,0.0,NA,0.0,NA,NA,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA	0.015
40	"ENSG00000065029.14_2"	"ZNF76"	chr6	+	35253904	35254176	35253904	35253985	35254098	35254176	40	0,0,3,11,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	25,0,0,2,0,0,0,0,26,0,0,3,11,95,0,0,0,0,0,0,0,0,1,12	0,0,0,0,30,0,0,0,0,0,0,0,0,7,0,4,34,0,0,0	8,22,0,19,0,4,2,0,27,66,0,0,0,0,0,0,0,0,0,0	263	150	1	1.0	0.0,NA,1.0,0.758,NA,NA,NA,1.0,0.116,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0	0.0,0.0,NA,0.0,1.0,0.0,0.0,NA,0.0,0.0,NA,NA,NA,1.0,NA,1.0,1.0,NA,NA,NA	-0.076
41	"ENSG00000065029.14_2"	"ZNF76"	chr6	+	35258417	35259180	35258417	35258493	35259054	35259180	41	0,0,0,0,0,0,0,36,0,0,0,0,0,35,8,0,0,0,7,0,0,0,0,0	0,0,52,4,17,66,0,0,0,0,0,4,0,0,67,0,0,2,35,0,1,0,15,0	3,0,0,0,2,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0	99,6,65,0,11,0,0,0,0,57,126,0,0,0,0,0,0,0,0,0	711	150	1	1.0	NA,NA,0.0,0.0,0.0,0.0,NA,1.0,NA,NA,NA,0.0,NA,1.0,0.025,NA,NA,0.0,0.04,NA,0.0,NA,0.0,NA	0.006,0.0,0.0,NA,0.037,NA,NA,NA,NA,0.1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.148
42	"ENSG00000168961.16_2"	"LGALS9"	chr17	+	25974055	25974458	25974055	25974144	25974295	25974458	42	0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0	0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	301	150	1	1.0	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	NA,NA,NA,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	-0.167
44	"ENSG00000104805.15_2"	"NUCB1"	chr19	+	49422286	49422543	49422286	49422379	49422450	49422543	44	0,0,0,1,0,0,0,0,19,0,0,0,0,0,14,0,0,0,2,0,0,10,0,0	2,0,0,30,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0	0,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	1,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	221	150	1	1.0	0.0,NA,NA,0.022,NA,NA,NA,0.0,0.928,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,0.772,0.0,NA	0.0,0.855,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	0.094
48	"ENSG00000130158.13_1"	"DOCK6"	chr19	-	11313069	11313391	11313069	11313159	11313259	11313391	48	0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	250	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,1.0,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.167
49	"ENSG00000004777.18_2"	"ARHGAP33"	chr19	+	36278069	36279724	36278069	36278461	36278545	36279724	49	0,0,2,0,0,0,0,0,0,12,0,0,0,21,0,0,0,6,0,76,0,0,0,0	0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0	0,18,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0	0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,2,53,0,0,0	234	150	1	1.0	NA,NA,1.0,0.0,NA,NA,NA,NA,0.0,1.0,NA,NA,NA,1.0,NA,NA,NA,0.391,NA,1.0,NA,NA,0.0,NA	NA,0.698,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,0.0,NA,0.0,0.035,NA,NA,NA	0.202
50	"ENSG00000204758.7_1"	"CTC-308K20.1"	chr5	-	172384156	172385260	172384156	172384305	172385141	172385260	50	0,0,0,5,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,6,0,0,0,0,0	0,4,0,0,5,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,8,40,0,0,0,0,0,0,0,0,0	986	150	1	1.0	NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,NA,NA,NA,NA,1.0	NA,1.0,NA,NA,1.0,NA,NA,NA,NA,0.406,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.002
54	"ENSG00000159079.18_2"	"C21orf59"	chr21	-	33973976	33975602	33973976	33974283	33975470	33975602	54	0,52,20,22,0,0,1,230,21,15,411,0,4,106,39,8,0,0,5,100,64,0,14,27	0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,25,0,0,0,0,0	88,15,63,8,22,0,0,2,11,63,133,0,59,1,12,0,6,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1337	150	1	1.0	NA,1.0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,0.114,1.0,NA,NA,0.022,1.0,1.0,NA,1.0,1.0	1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,NA,1.0,NA,NA,NA	-0.11
55	"ENSG00000118515.11_2"	"SGK1"	chr6	-	134491963	134492316	134491963	134492053	134492160	134492316	55	2,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0	0,99,0,0,0,0,1,0,0,0,0,0,0,38,0,0,0,1,0,20,0,298,4,56	0,8,0,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0	0,0,1,71,12,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0	257	150	1	1.0	1.0,0.0,NA,NA,NA,NA,0.0,1.0,NA,NA,NA,NA,NA,0.0,NA,NA,1.0,0.0,NA,0.0,NA,0.0,0.0,0.0	NA,1.0,0.0,0.176,0.046,1.0,NA,0.0,NA,0.0,NA,NA,NA,NA,0.0,NA,NA,NA,0.7,NA	-0.052
56	"ENSG00000118515.11_2"	"SGK1"	chr6	-	134494411	134494704	134494411	134494495	134494599	134494704	56	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0	0,0,0,0,77,0,0,44,52,0,3,0,0,97,0,2,0,0,0,0,0,0,5,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,111,4,20,0,0,0,0,0,0,116,0,0,0,0,0,0,0,5,0	254	150	1	1.0	NA,NA,NA,NA,0.0,NA,NA,0.0,0.0,NA,0.0,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,0.321,NA	NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA	0.046
57	"ENSG00000118515.11_2"	"SGK1"	chr6	-	134495648	134495999	134495648	134495724	134495869	134495999	57	0,0,0,3,0,0,0,0,0,0,0,0,0,0,111,0,2,0,43,0,0,0,5,7	0,11,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,55	0,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0	0,0,0,0,22,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0	295	150	1	1.0	NA,0.0,NA,1.0,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA,1.0,NA,1.0,NA,1.0,NA,NA,NA,1.0,0.061	NA,1.0,NA,NA,0.0,NA,NA,NA,NA,1.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA	0.062
58	"ENSG00000140939.14_1"	"NOL3"	chr16	+	67208064	67208847	67208064	67208243	67208523	67208847	58	0,0,0,0,46,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,1,18	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7	0,0,0,0,8,0,0,57,0,51,170,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	430	150	1	1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.473	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.132
