ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
20	"ENSG00000172613.7_2"	"RAD9A"	chr11	+	67163581	67163646	67163581	67163642	67163733	67163871	20	0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,3,0,0,135,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0	0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	153	150	1	1.0	NA,NA,NA,NA,0.0,NA,NA,0.0,1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	NA,0.0,1.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	-0.35
22	"ENSG00000081760.16_2"	"AACS"	chr12	+	125609250	125609570	125609250	125609315	125612706	125612820	22	55,0,0,6,0,154,0,3,0,33,0,0,27,11,17,0,0,0,11,0,86,0,8,0	0,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	33,4,0,2,14,0,0,0,14,9,137,0,8,103,9,25,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	300	150	1	1.0	1.0,0.0,NA,1.0,NA,1.0,NA,0.273,NA,1.0,NA,NA,1.0,1.0,1.0,NA,NA,NA,1.0,NA,1.0,NA,1.0,NA	1.0,1.0,NA,1.0,1.0,NA,NA,NA,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,NA,NA,1.0,NA	-0.144
24	"ENSG00000160209.18_1"	"PDXK"	chr21	+	45152019	45152528	45152019	45152323	45153949	45154004	24	0,50,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5	68,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0	0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	300	150	1	1.0	0.0,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0	NA,1.0,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.1
26	"ENSG00000211456.10_1"	"SACM1L"	chr3	+	45730950	45731037	45730950	45730989	45744929	45745027	26	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98,139,0,14,8,0,0,55,0,14,152,0,38,65,42,0,0,0,30,17,0,37,1,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	39,16,5,18,3,0,0,0,6,1,28,0,0,0,0,0,6,0,0,0	197	150	1	1.0	0.0,0.0,NA,0.0,0.0,NA,NA,0.0,NA,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,0.0,0.0,NA,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0,NA,1.0,NA	-0.1
27	"ENSG00000229117.8_1"	"RPL41"	chr12	+	56510558	56510613	56510558	56510583	56510972	56510995	27	0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	75,327,125,7,163,43,0,64,164,9,28,2,47,109,214,97,5,9,131,70,195,54,22,45	0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0	124,28,100,26,6,79,43,40,90,44,554,1898,91,3,5,8,53,22,3,0	179	150	1	1.0	0.0,0.0,0.0,0.0,0.0,0.0,NA,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,NA	-0.033
28	"ENSG00000229117.8_1"	"RPL41"	chr12	+	56510558	56510714	56510558	56510583	56510972	56510995	28	0,0,0,9,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	75,327,125,7,163,43,0,64,164,9,28,2,47,109,214,97,5,9,131,70,195,54,22,45	34,39,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0	124,28,100,26,6,79,43,40,90,44,554,1898,91,3,5,8,53,22,3,0	280	150	1	1.0	0.0,0.0,0.0,0.408,0.0,0.0,NA,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.128,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517,NA	-0.037
29	"ENSG00000229117.8_1"	"RPL41"	chr12	+	56510558	56510714	56510558	56510613	56510972	56510995	29	0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	34,31,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0	250	150	1	1.0	NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,0.419,NA	0.145
31	"ENSG00000170325.14_2"	"PRDM10"	chr11	-	129781979	129782120	129782018	129782120	129780370	129780551	31	0,0,0,14,0,0,0,0,0,11,0,2,0,0,15,0,0,0,9,61,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0	0,0,0,0,0,0,0,0,51,0,0,0,0,7,0,1,0,0,0,2	0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	188	150	1	1.0	NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA,1.0,NA,NA,NA,1.0,1.0,0.0,NA,NA,NA	NA,NA,0.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,NA,1.0,0.0,NA,NA,1.0	0.19
36	"ENSG00000108852.14_1"	"MPP2"	chr17	-	41975629	41975748	41975647	41975748	41960570	41960723	36	0,13,0,14,6,48,0,0,0,0,0,0,0,35,24,0,0,0,8,0,0,0,8,0	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,0,0,0,0,0,0,0,0,98,0,0,0,40,0,23,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	167	150	1	1.0	NA,1.0,NA,0.926,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,1.0,NA	1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,NA	-0.009
37	"ENSG00000130475.14_1"	"FCHO1"	chr19	+	17865125	17865275	17865125	17865170	17865400	17865494	37	0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0	0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0	254	150	1	1.0	NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.431
41	"ENSG00000109184.14_1"	"DCUN1D4"	chr4	+	52752733	52753410	52752733	52752804	52757925	52758017	41	0,0,24,0,2,0,0,0,0,23,0,131,0,48,0,0,0,59,0,48,0,0,1,28	61,1,0,59,34,29,0,57,102,1,39,0,54,0,85,65,0,0,47,0,0,0,4,120	23,0,192,0,2,15,4,0,0,0,1,0,0,133,0,72,0,0,0,0	59,31,3,1,0,0,0,0,19,35,408,0,107,107,0,67,0,0,74,0	300	150	1	1.0	0.0,0.0,1.0,0.0,0.029,0.0,NA,0.0,0.0,0.92,0.0,1.0,0.0,1.0,0.0,0.0,NA,1.0,0.0,1.0,NA,NA,0.111,0.104	0.163,0.0,0.97,0.0,1.0,1.0,1.0,NA,0.0,0.0,0.001,NA,0.0,0.383,NA,0.35,NA,NA,0.0,NA	-0.039
42	"ENSG00000104805.15_2"	"NUCB1"	chr19	+	49404042	49404378	49404042	49404188	49407603	49407711	42	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	158,21,10,78,19,71,383,2,13,7,0,0,123,159,12,7,0,3,2,3,0,0,32,48	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	139,67,5,9,14,118,38,0,71,208,643,0,108,0,0,0,23,0,0,0	300	150	1	1.0	0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,0.0,NA,NA,NA,0.0,NA,NA,NA	0.001
44	"ENSG00000189180.15_1"	"ZNF33A"	chr10	+	38305798	38305948	38305798	38305943	38306218	38306314	44	0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,10,0,54,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0	154	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,0.0,0.927,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	0.052
49	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70312947	70313404	70313255	70313404	70312678	70312756	49	0,0,0,31,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0	0,86,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,2,0	0,16,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0	300	150	1	1.0	NA,0.0,NA,1.0,NA,NA,NA,0.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,0.0,NA,NA,NA,NA,NA,NA,1.0,1.0,0.0,NA,0.0,NA,NA,NA,NA,NA,1.0,NA	0.0
52	"ENSG00000140939.14_1"	"NOL3"	chr16	+	67208064	67208357	67208064	67208243	67208523	67208847	52	0,0,0,0,46,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,1,17	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7	0,0,0,0,8,0,0,0,0,51,85,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	263	150	1	1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.581	NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.105
53	"ENSG00000140939.14_1"	"NOL3"	chr16	+	67208064	67208367	67208064	67208243	67208523	67208847	53	0,0,0,0,46,0,0,0,0,14,0,0,0,48,0,0,0,0,0,0,0,0,2,11	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7	0,97,0,0,8,0,0,156,0,51,288,0,0,53,0,23,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	273	150	1	1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.463	NA,1.0,NA,NA,1.0,NA,NA,1.0,NA,1.0,1.0,NA,NA,1.0,NA,1.0,NA,NA,NA,NA	-0.107
54	"ENSG00000140939.14_1"	"NOL3"	chr16	+	67208064	67208367	67208064	67208357	67208523	67208847	54	0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8	0,97,0,0,0,0,0,156,0,0,203,0,0,53,0,23,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	159	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.191	NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,1.0,NA,1.0,NA,NA,NA,NA	-0.27
56	"ENSG00000221914.8_2"	"PPP2R2A"	chr8	+	26151181	26151376	26151181	26151256	26196405	26196503	56	0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0	0,0,4,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,50,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,2,19,0,0,0,0,17,27,42,0,0,0,0,0,0,0,0,0	269	150	1	1.0	NA,NA,0.0,NA,0.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.135,NA,1.0,NA	NA,NA,0.0,0.0,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.356
57	"ENSG00000221914.8_2"	"PPP2R2A"	chr8	+	26220199	26221406	26220199	26220364	26223830	26223922	57	79,0,0,19,31,40,0,146,12,26,0,0,48,1,13,46,169,0,2,0,0,0,1,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0	65,0,41,3,0,0,0,0,67,0,22,0,9,21,34,9,0,0,35,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	300	150	1	1.0	1.0,NA,NA,1.0,1.0,1.0,NA,1.0,1.0,1.0,NA,NA,1.0,1.0,0.52,1.0,1.0,NA,0.1,NA,NA,NA,1.0,1.0	1.0,NA,1.0,1.0,NA,NA,NA,NA,1.0,NA,1.0,NA,1.0,1.0,1.0,1.0,NA,NA,1.0,NA	-0.092
59	"ENSG00000157036.12_2"	"EXOG"	chr3	+	38539119	38539269	38539119	38539175	38542845	38542985	59	12,0,0,0,0,228,0,0,0,2,0,0,7,0,0,0,0,0,2,0,159,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,56,0,1,0,0,0,0,26,2,4,0,0,26,0,14,0,0,0,0	4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	243	150	1	1.0	1.0,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,1.0,NA	0.236,1.0,NA,1.0,NA,NA,NA,NA,1.0,1.0,1.0,NA,NA,1.0,NA,1.0,NA,NA,NA,NA	0.096
61	"ENSG00000108370.16_2"	"RGS9"	chr17	+	63173849	63173921	63173849	63173912	63185403	63185433	61	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0	158	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA	-0.5
66	"ENSG00000055609.17_2"	"KMT2C"	chr7	-	151842237	151842380	151842249	151842380	151841797	151841966	66	0,0,0,50,0,242,43,0,0,28,0,0,0,4,63,51,0,3,44,187,32,0,14,0	0,0,0,28,20,0,181,13,24,0,0,0,0,11,0,0,0,54,0,0,6,0,0,0	2,43,0,33,17,0,0,0,0,0,26,0,0,39,0,19,16,0,0,0	38,26,24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0	161	150	1	1.0	NA,NA,NA,0.625,0.0,1.0,0.181,0.0,0.0,1.0,NA,NA,NA,0.253,1.0,1.0,NA,0.049,1.0,1.0,0.832,NA,1.0,NA	0.047,0.606,0.0,1.0,1.0,NA,NA,NA,NA,0.0,0.96,NA,NA,1.0,NA,1.0,1.0,NA,NA,NA	-0.065
68	"ENSG00000107864.14_1"	"CPEB3"	chr10	-	93952233	93952393	93952302	93952393	93940719	93940776	68	2,50,0,2,0,58,110,116,66,3,0,0,4,0,0,0,315,0,1,0,0,0,2,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0	119,34,39,128,16,0,0,12,12,37,0,0,32,52,0,39,39,140,0,0	43,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0	218	150	1	1.0	1.0,1.0,NA,1.0,NA,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,NA,NA,NA,1.0,NA,1.0,0.0,NA,NA,1.0,1.0	0.656,1.0,1.0,1.0,1.0,NA,NA,1.0,0.805,1.0,NA,NA,1.0,1.0,NA,1.0,1.0,1.0,NA,NA	-0.03
74	"ENSG00000172663.8_2"	"TMEM134"	chr11	-	67235487	67235563	67235498	67235563	67234971	67235061	74	0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,14,6,0,0,0,0,0	0,0,0,16,0,5,0,0,0,0,0,0,0,118,0,0,0,0,0,0,2,0,1,0	2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0	1,0,16,0,2,0,0,0,0,0,0,0,0,42,0,16,0,0,0,0	160	150	1	1.0	NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,NA,NA,1.0,1.0,NA,0.0,NA,0.0,NA	0.652,NA,0.0,NA,0.0,NA,NA,NA,1.0,1.0,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,NA	-0.004
